 Satellite:           Jason-1
 Date of parsing:     10-May-2015, 19:55:39
 
            jday	           glat	           glon	           hsat	           ralt	    stdalt	       swh	     otide	     etide	      invb	     wtrop	     dtrop	     ionos	      mssh	      geoh	    iflags	    oflags	     ptide	       emb	
               d	            deg	            deg	              m	              m	         m	         m	         m	         m	         m	         m	         m	         m	         m	         m	         -	         -	         m	         m	
==========================================================================================================================================================================================================================================================
      1835.47581	      66.141411	     183.709998	    1353694.684	    1299999.999	    -0.001	   327.670	    32.767	    -0.086	    -0.017	    -0.015	    -2.300	    32.767	     4.096	     3.806	       200	        30	     0.003	    32.767	
      1835.47582	      66.140583	     183.839625	    1353694.652	    1299999.999	    -0.001	   327.670	    32.767	    -0.086	    -0.009	    -0.015	    -2.298	    32.767	     4.035	     3.772	       200	        30	     0.003	    32.767	
      1835.47588	      66.135253	     184.438736	    1353694.162	    1299999.999	    -0.001	   327.670	    32.767	    -0.086	    -0.040	    -0.020	    -2.305	    32.767	     3.845	     3.585	       200	        30	     0.003	    32.767	
      1835.47592	      66.129441	     184.901433	    1353693.395	    1299999.999	    -0.001	   327.670	    32.767	    -0.086	    -0.075	    -0.022	    -2.313	    32.767	     3.767	     3.479	       200	        30	     0.003	    32.767	
      1835.47593	      66.127550	     185.030929	    1353693.119	    1299999.999	    -0.001	   327.670	    32.767	    -0.086	    -0.134	    -0.023	    -2.327	    32.767	     3.747	     3.476	       200	        30	     0.003	    32.767	
      1835.47607	      66.095704	     186.588470	    1353687.718	    1353564.265	     0.975	    18.380	    32.767	    -0.086	    -0.159	    -0.011	    -2.332	    -0.674	     3.651	     3.902	        66	        30	     0.003	    -0.320	
      1835.47608	      66.092308	     186.717603	    1353687.096	    1299999.999	    -0.001	   327.670	    32.767	    -0.086	    -0.058	    -0.008	    -2.309	    32.767	     3.680	     3.933	       200	        30	     0.003	    32.767	
      1835.47645	      65.928942	     190.720936	    1353654.427	    1299999.999	    -0.001	   327.670	     0.039	    -0.087	    -0.355	    -0.033	    -2.377	    32.767	     4.024	     3.879	       200	        14	     0.006	    32.767	
      1835.47646	      65.921876	     190.848320	    1353652.955	    1299999.999	    -0.001	   327.670	     0.040	    -0.087	    -0.353	    -0.032	    -2.377	    32.767	     4.106	     3.949	       200	        14	     0.006	    32.767	
      1835.47649	      65.904949	     191.145263	    1353649.415	    1299999.999	    -0.001	   327.670	     0.042	    -0.087	    -0.348	    -0.027	    -2.376	    32.767	     4.346	     4.074	       200	        14	     0.006	    32.767	
      1835.47650	      65.897507	     191.272399	    1353647.855	    1299999.999	    -0.001	   327.670	     0.044	    -0.087	    -0.348	    -0.026	    -2.376	    32.767	     4.428	     4.125	       200	        14	     0.006	    32.767	
      1835.47652	      65.889953	     191.399458	    1353646.268	    1299999.999	    -0.001	   327.670	     0.045	    -0.087	    -0.350	    -0.026	    -2.376	    32.767	     4.485	     4.175	       200	        14	     0.006	    32.767	
      1835.47653	      65.882287	     191.526439	    1353644.655	    1299999.999	    -0.001	   327.670	     0.047	    -0.087	    -0.351	    -0.026	    -2.376	    32.767	     4.531	     4.241	       200	        14	     0.006	    32.767	
      1835.47654	      65.874508	     191.653342	    1353643.015	    1299999.999	    -0.001	   327.670	     0.049	    -0.087	    -0.353	    -0.028	    -2.377	    32.767	     4.619	     4.326	       200	        14	     0.006	    32.767	
      1835.47655	      65.866618	     191.780164	    1353641.349	    1299999.999	    -0.001	   327.670	     0.050	    -0.087	    -0.354	    -0.031	    -2.377	    32.767	     4.734	     4.413	       200	        14	     0.006	    32.767	
      1835.47659	      65.838586	     192.216351	    1353635.409	    1299999.999	    -0.001	   327.670	     0.051	    -0.087	    -0.356	    -0.034	    -2.378	    32.767	     5.101	     4.668	       200	        14	     0.006	    32.767	
      1835.47662	      65.821591	     192.470798	    1353631.794	    1299999.999	    -0.001	   327.670	     0.050	    -0.087	    -0.356	    -0.034	    -2.377	    32.767	     5.343	     4.813	       200	        14	     0.006	    32.767	
      1835.47663	      65.812980	     192.597080	    1353629.958	    1299999.999	    -0.001	   327.670	     0.050	    -0.087	    -0.327	    -0.033	    -2.371	    32.767	     5.410	     4.888	       200	        30	     0.003	    32.767	
      1835.47665	      65.794553	     192.861743	    1353626.021	    1299999.999	    -0.001	   327.670	    32.767	    -0.087	    -0.296	    -0.031	    -2.364	    32.767	     5.444	     5.055	       202	        30	     0.003	    32.767	
      1835.47668	      65.775976	     193.121335	    1353622.041	    1299999.999	    -0.001	    16.090	    32.767	    -0.087	    -0.242	    -0.027	    -2.351	    32.767	     5.443	     5.240	       202	        30	     0.003	    -0.349	
      1835.47669	      65.766793	     193.247152	    1353620.069	    1299999.999	    -0.001	    30.740	    32.767	    -0.087	    -0.215	    -0.026	    -2.345	    32.767	     5.470	     5.329	       200	        30	     0.003	    -0.343	
      1835.47670	      65.757500	     193.372877	    1353618.072	    1353549.924	     0.986	    23.410	    32.767	    -0.087	    -0.188	    -0.024	    -2.339	    32.767	     5.513	     5.407	        74	        30	     0.003	    -0.332	
      1835.47695	      65.531094	     196.052897	    1353568.765	    1299999.999	    -0.001	   327.670	    32.767	    -0.088	    -0.144	    -0.012	    -2.329	    32.767	     6.500	     6.422	       200	        30	     0.003	    32.767	
      1835.47702	      65.462240	     196.759313	    1353553.572	    1299999.999	    -0.001	   327.670	    32.767	    -0.088	     0.097	    -0.012	    -2.274	    32.767	     6.895	     6.941	       200	        30	     0.003	    32.767	
