 Satellite:           Jason-1
 Date of parsing:     10-May-2015, 19:55:38
 
            jday	           glat	           glon	           hsat	           ralt	    stdalt	       swh	     otide	     etide	      invb	     wtrop	     dtrop	     ionos	      mssh	      geoh	    iflags	    oflags	     ptide	       emb	
               d	            deg	            deg	              m	              m	         m	         m	         m	         m	         m	         m	         m	         m	         m	         m	         -	         -	         m	         m	
==========================================================================================================================================================================================================================================================
      1835.43670	     -66.145012	      17.095384	    1356561.553	    1356547.793	     0.065	     1.210	     0.287	    -0.086	     0.230	    -0.029	    -2.243	    -0.027	    15.582	    16.967	         0	         0	     0.006	    -0.058	
      1835.43671	     -66.144888	      17.224949	    1356561.405	    1356547.611	     0.064	     0.690	     0.287	    -0.086	     0.230	    -0.028	    -2.243	    -0.023	    15.545	    16.931	         0	         0	     0.006	    -0.039	
      1835.43673	     -66.144649	      17.354512	    1356561.227	    1356547.486	     0.082	     0.840	     0.286	    -0.086	     0.230	    -0.029	    -2.243	    -0.034	    15.533	    16.922	         0	         0	     0.006	    -0.043	
      1835.43674	     -66.144294	      17.484072	    1356561.021	    1356547.314	     0.061	     1.110	     0.286	    -0.086	     0.230	    -0.027	    -2.243	    -0.022	    15.545	    16.931	         0	         0	     0.006	    -0.053	
      1835.43675	     -66.143824	      17.613627	    1356560.785	    1356547.020	     0.064	     0.870	     0.285	    -0.086	     0.231	    -0.029	    -2.243	    -0.030	    15.561	    16.946	         0	         0	     0.006	    -0.045	
      1835.43676	     -66.143238	      17.743177	    1356560.520	    1356546.729	     0.057	     0.820	     0.284	    -0.086	     0.231	    -0.029	    -2.243	    -0.031	    15.583	    16.972	         0	         0	     0.006	    -0.042	
      1835.43677	     -66.142536	      17.872720	    1356560.227	    1356546.389	     0.072	     0.810	     0.284	    -0.086	     0.231	    -0.029	    -2.243	    -0.034	    15.616	    17.010	         0	         0	     0.006	    -0.042	
      1835.43678	     -66.141719	      18.002255	    1356559.904	    1356546.012	     0.042	     0.550	     0.283	    -0.086	     0.231	    -0.030	    -2.243	    -0.025	    15.655	    17.051	         0	         0	     0.006	    -0.034	
      1835.43680	     -66.140786	      18.131781	    1356559.552	    1356545.618	     0.042	     0.750	     0.282	    -0.086	     0.232	    -0.029	    -2.243	    -0.039	    15.703	    17.096	         0	         0	     0.006	    -0.041	
      1835.43681	     -66.139737	      18.261296	    1356559.170	    1356545.186	     0.035	     0.830	     0.282	    -0.086	     0.232	    -0.029	    -2.243	    -0.027	    15.763	    17.156	         0	         0	     0.006	    -0.043	
      1835.43682	     -66.138573	      18.390800	    1356558.760	    1356544.706	     0.053	     0.440	     0.281	    -0.086	     0.232	    -0.029	    -2.243	    -0.034	    15.824	    17.223	         0	         0	     0.006	    -0.030	
      1835.43683	     -66.137294	      18.520291	    1356558.321	    1356544.238	     0.062	     0.620	     0.281	    -0.086	     0.232	    -0.030	    -2.243	    -0.022	    15.892	    17.287	         0	         0	     0.006	    -0.035	
      1835.43684	     -66.135898	      18.649768	    1356557.852	    1356543.667	     0.056	     0.870	     0.280	    -0.086	     0.233	    -0.029	    -2.243	    -0.026	    15.962	    17.358	         0	         0	     0.006	    -0.047	
      1835.43685	     -66.134388	      18.779230	    1356557.355	    1356543.090	     0.052	     0.870	     0.279	    -0.086	     0.233	    -0.030	    -2.242	    -0.033	    16.034	    17.438	         0	         0	     0.006	    -0.042	
      1835.43687	     -66.132762	      18.908675	    1356556.828	    1356542.517	     0.088	     0.860	     0.278	    -0.086	     0.233	    -0.028	    -2.242	    -0.021	    16.102	    17.514	         0	         0	     0.006	    -0.040	
      1835.43688	     -66.131020	      19.038102	    1356556.272	    1356541.856	     0.046	     0.860	     0.278	    -0.086	     0.234	    -0.030	    -2.242	    -0.032	    16.167	    17.578	         0	         0	     0.006	    -0.044	
      1835.43689	     -66.129163	      19.167510	    1356555.687	    1356541.225	     0.064	     0.660	     0.277	    -0.086	     0.234	    -0.029	    -2.242	    -0.032	    16.222	    17.638	         0	         0	     0.006	    -0.038	
      1835.43690	     -66.127190	      19.296899	    1356555.073	    1356540.597	     0.058	     0.810	     0.277	    -0.086	     0.234	    -0.031	    -2.242	    -0.021	    16.272	    17.692	         0	         0	     0.006	    -0.039	
      1835.43691	     -66.125102	      19.426265	    1356554.430	    1356539.899	     0.061	     0.990	     0.276	    -0.086	     0.235	    -0.029	    -2.242	    -0.036	    16.316	    17.736	         0	         0	     0.006	    -0.044	
      1835.43693	     -66.122899	      19.555610	    1356553.758	    1356539.163	     0.054	     0.460	     0.276	    -0.087	     0.235	    -0.030	    -2.242	    -0.045	    16.351	    17.772	         0	         0	     0.006	    -0.030	
      1835.43694	     -66.120580	      19.684930	    1356553.056	    1356538.422	     0.065	     0.770	     0.275	    -0.087	     0.235	    -0.032	    -2.242	    -0.038	    16.376	    17.801	         0	         0	     0.006	    -0.043	
      1835.43695	     -66.118146	      19.814226	    1356552.326	    1356537.681	     0.065	     0.570	     0.275	    -0.087	     0.236	    -0.031	    -2.242	    -0.030	    16.394	    17.817	         0	         0	     0.006	    -0.036	
      1835.43696	     -66.115597	      19.943495	    1356551.566	    1356536.930	     0.104	     1.060	     0.274	    -0.087	     0.236	    -0.032	    -2.242	    -0.039	    16.406	    17.825	         0	         0	     0.006	    -0.050	
      1835.43697	     -66.112932	      20.072737	    1356550.778	    1356536.146	     0.071	     1.010	     0.274	    -0.087	     0.236	    -0.032	    -2.242	    -0.032	    16.409	    17.834	         0	         0	     0.006	    -0.049	
