 Satellite:           Jason-1
 Date of filtering:   10-May-2015, 19:56:18
 Original file: 	  Jason-1\Jason-1_ASCII\111\111_002tu_jason1.00_ASCII.txt 
 Filters configuration: 	         0 and          0 
 
            jday	           glat	           glon	           hsat	           ralt	    stdalt	       swh	     otide	     etide	      invb	     wtrop	     dtrop	     ionos	      mssh	      geoh	    iflags	    oflags	     ptide	       emb	
               d	            deg	            deg	              m	              m	         m	         m	         m	         m	         m	         m	         m	         m	         m	         m	         -	         -	         m	         m	
==========================================================================================================================================================================================================================================================
      1835.49134	      16.510093	     259.650505	    1340850.091	    1340867.630	     0.042	     1.060	    -0.459	    -0.232	    -0.017	    -0.177	    -2.306	    -0.036	   -14.430	   -15.269	         0	         0	     0.003	    -0.047	
      1835.49135	      16.460563	     259.670249	    1340842.779	    1340860.620	     0.063	     0.840	    -0.461	    -0.232	    -0.016	    -0.177	    -2.306	    -0.014	   -14.712	   -15.535	         0	         0	     0.003	    -0.039	
      1835.49136	      16.411030	     259.689980	    1340835.490	    1340853.455	     0.048	     1.030	    -0.463	    -0.233	    -0.015	    -0.176	    -2.305	    -0.033	   -14.860	   -15.656	         0	         0	     0.003	    -0.046	
      1835.49137	      16.361494	     259.709699	    1340828.223	    1340846.225	     0.067	     1.060	    -0.464	    -0.233	    -0.014	    -0.175	    -2.305	    -0.024	   -14.856	   -15.649	         0	         0	     0.003	    -0.047	
      1835.49139	      16.311955	     259.729407	    1340820.980	    1340838.814	     0.055	     0.950	    -0.466	    -0.233	    -0.015	    -0.176	    -2.305	    -0.025	   -14.718	   -15.507	         0	         0	     0.003	    -0.043	
      1835.49140	      16.262413	     259.749102	    1340813.759	    1340831.323	     0.060	     0.880	    -0.467	    -0.233	    -0.018	    -0.175	    -2.306	    -0.028	   -14.497	   -15.280	         0	         0	     0.003	    -0.041	
      1835.49141	      16.212869	     259.768785	    1340806.562	    1340823.894	     0.043	     1.030	    -0.469	    -0.233	    -0.021	    -0.175	    -2.307	    -0.028	   -14.223	   -14.999	         0	         0	     0.003	    -0.046	
      1835.49142	      16.163321	     259.788456	    1340799.387	    1340816.412	     0.036	     1.160	    -0.470	    -0.233	    -0.024	    -0.175	    -2.307	    -0.031	   -13.909	   -14.686	         0	         0	     0.003	    -0.050	
      1835.49143	      16.113770	     259.808116	    1340792.236	    1340808.963	     0.073	     1.150	    -0.472	    -0.233	    -0.026	    -0.175	    -2.308	    -0.031	   -13.585	   -14.354	         0	         0	     0.003	    -0.050	
      1835.49144	      16.064217	     259.827763	    1340785.108	    1340801.505	     0.071	     1.070	    -0.473	    -0.233	    -0.029	    -0.175	    -2.308	    -0.026	   -13.282	   -14.041	         0	         0	     0.003	    -0.048	
      1835.49146	      16.014661	     259.847399	    1340778.003	    1340794.103	     0.090	     1.200	    -0.475	    -0.233	    -0.031	    -0.175	    -2.309	    -0.046	   -12.990	   -13.747	         0	         0	     0.003	    -0.052	
      1835.49147	      15.965101	     259.867023	    1340770.921	    1340786.760	     0.074	     1.310	    -0.476	    -0.233	    -0.032	    -0.175	    -2.309	    -0.030	   -12.693	   -13.443	         0	         0	     0.003	    -0.055	
      1835.49148	      15.915539	     259.886636	    1340763.862	    1340779.395	     0.057	     1.180	    -0.477	    -0.233	    -0.032	    -0.175	    -2.309	    -0.041	   -12.402	   -13.146	         0	         0	     0.003	    -0.051	
      1835.49149	      15.865974	     259.906236	    1340756.827	    1340772.122	     0.041	     1.070	    -0.478	    -0.233	    -0.032	    -0.175	    -2.309	    -0.031	   -12.136	   -12.867	         0	         0	     0.003	    -0.047	
      1835.49150	      15.816407	     259.925825	    1340749.815	    1340764.857	     0.060	     1.140	    -0.480	    -0.234	    -0.032	    -0.175	    -2.309	    -0.016	   -11.859	   -12.597	         0	         0	     0.003	    -0.049	
      1835.49151	      15.766836	     259.945403	    1340742.826	    1340757.604	     0.054	     1.300	    -0.481	    -0.234	    -0.032	    -0.175	    -2.309	    -0.031	   -11.616	   -12.345	         0	         0	     0.003	    -0.054	
      1835.49153	      15.717262	     259.964969	    1340735.860	    1340750.469	     0.073	     1.240	    -0.482	    -0.234	    -0.032	    -0.175	    -2.309	    -0.024	   -11.395	   -12.137	         0	         0	     0.003	    -0.052	
      1835.49154	      15.667686	     259.984523	    1340728.918	    1340743.332	     0.049	     1.360	    -0.483	    -0.234	    -0.032	    -0.175	    -2.309	    -0.037	   -11.210	   -11.946	         0	         0	     0.003	    -0.057	
      1835.49155	      15.618107	     260.004066	    1340722.000	    1340736.209	     0.055	     1.050	    -0.484	    -0.234	    -0.033	    -0.176	    -2.309	    -0.046	   -11.021	   -11.752	         0	         0	     0.003	    -0.046	
      1835.49156	      15.568525	     260.023598	    1340715.104	    1340729.168	     0.057	     1.350	    -0.485	    -0.234	    -0.033	    -0.175	    -2.309	    -0.019	   -10.824	   -11.552	         0	         0	     0.003	    -0.057	
      1835.49157	      15.518940	     260.043118	    1340708.232	    1340722.135	     0.067	     1.260	    -0.486	    -0.234	    -0.032	    -0.176	    -2.309	    -0.020	   -10.629	   -11.351	         0	         0	     0.003	    -0.055	
      1835.49159	      15.469352	     260.062627	    1340701.384	    1340715.084	     0.086	     1.090	    -0.487	    -0.234	    -0.032	    -0.176	    -2.309	    -0.024	   -10.445	   -11.160	         0	         0	     0.003	    -0.048	
