 Satellite:           Jason-1
 Date of filtering:   15-May-2015, 16:03:47
 Original file:       Jason-1\Jason-1_ASCII\110\110_001tu_jason1.00_ASCII.txt 
 Allowed ins. flags:  00000000 
 Allowed orb. flags:  00000110 
 St. dev. max limit:  0.2 [m] 
   SWH. threshold:    7 [m] 
 abs(SSH - mssh) threshold:    2 [m] 

             jday	           glat	           glon	           hsat	           ralt	    stdalt	       swh	     otide	     etide	      invb	     wtrop	     dtrop	     ionos	      mssh	      geoh	    iflags	    oflags	     ptide	       emb	    SumOfCorr-s	            SSH	     SSH - mssh	     SSH - geoh
      1825.52123	     -66.133946	      18.872345	    1356541.253	    1356527.051	     0.050	     1.600	     0.054	    -0.046	     0.330	    -0.035	    -2.221	    -0.022	    16.082	    17.493	         0	         0	     0.006	    -0.083	         -2.071	         16.273	          0.191	         -1.220
      1825.52124	     -66.132233	      19.001782	    1356540.750	    1356526.494	     0.059	     1.810	     0.054	    -0.046	     0.331	    -0.034	    -2.220	    -0.035	    16.149	    17.559	         0	         0	     0.006	    -0.092	         -2.090	         16.346	          0.197	         -1.213
      1825.52125	     -66.130404	      19.131199	    1356540.217	    1356525.836	     0.071	     1.570	     0.054	    -0.046	     0.332	    -0.035	    -2.220	    -0.039	    16.207	    17.620	         0	         0	     0.006	    -0.075	         -2.077	         16.458	          0.251	         -1.162
      1825.52127	     -66.128460	      19.260597	    1356539.655	    1356525.234	     0.060	     1.660	     0.054	    -0.046	     0.332	    -0.035	    -2.220	    -0.048	    16.258	    17.677	         0	         0	     0.006	    -0.076	         -2.087	         16.508	          0.250	         -1.169
      1825.52128	     -66.126401	      19.389974	    1356539.065	    1356524.563	     0.056	     1.450	     0.054	    -0.046	     0.333	    -0.036	    -2.220	    -0.076	    16.304	    17.724	         0	         0	     0.006	    -0.059	         -2.098	         16.600	          0.296	         -1.124
      1825.52154	     -66.051977	      22.228508	    1356518.711	    1356504.008	     0.082	     2.190	     0.059	    -0.045	     0.346	    -0.036	    -2.217	    -0.052	    16.567	    18.000	         0	         0	     0.006	    -0.098	         -2.096	         16.799	          0.232	         -1.201
      1825.52155	     -66.047275	      22.357071	    1356517.452	    1356502.771	     0.060	     2.170	     0.059	    -0.045	     0.347	    -0.033	    -2.217	    -0.046	    16.548	    17.982	         0	         0	     0.006	    -0.104	         -2.092	         16.773	          0.225	         -1.209
      1825.52156	     -66.042459	      22.485583	    1356516.164	    1356501.468	     0.079	     2.010	     0.059	    -0.045	     0.348	    -0.036	    -2.217	    -0.055	    16.529	    17.957	         0	         0	     0.006	    -0.093	         -2.092	         16.788	          0.259	         -1.169
      1825.52157	     -66.037528	      22.614045	    1356514.847	    1356500.237	     0.123	     2.330	     0.059	    -0.045	     0.348	    -0.034	    -2.217	    -0.023	    16.515	    17.937	         0	         0	     0.006	    -0.112	         -2.077	         16.687	          0.172	         -1.250
      1825.52159	     -66.032484	      22.742455	    1356513.500	    1356498.842	     0.077	     2.160	     0.059	    -0.045	     0.349	    -0.035	    -2.216	    -0.038	    16.502	    17.925	         0	         0	     0.006	    -0.107	         -2.086	         16.744	          0.242	         -1.181
      1825.52160	     -66.027325	      22.870812	    1356512.125	    1356497.485	     0.035	     2.230	     0.059	    -0.045	     0.350	    -0.033	    -2.216	    -0.035	    16.491	    17.911	         0	         0	     0.006	    -0.108	         -2.081	         16.721	          0.230	         -1.190
      1825.52161	     -66.022052	      22.999115	    1356510.721	    1356496.096	     0.085	     2.300	     0.059	    -0.045	     0.350	    -0.034	    -2.216	    -0.050	    16.485	    17.898	         0	         0	     0.006	    -0.112	         -2.101	         16.726	          0.241	         -1.172
      1825.52162	     -66.016666	      23.127363	    1356509.288	    1356494.709	     0.048	     2.430	     0.059	    -0.045	     0.351	    -0.034	    -2.216	    -0.027	    16.479	    17.892	         0	         0	     0.006	    -0.117	         -2.082	         16.661	          0.182	         -1.231
      1825.52163	     -66.011166	      23.255554	    1356507.825	    1356493.194	     0.073	     2.090	     0.060	    -0.045	     0.352	    -0.034	    -2.216	    -0.043	    16.479	    17.890	         0	         0	     0.006	    -0.105	         -2.085	         16.716	          0.237	         -1.174
      1825.52164	     -66.005552	      23.383687	    1356506.334	    1356491.763	     0.045	     2.240	     0.060	    -0.045	     0.352	    -0.034	    -2.216	    -0.028	    16.487	    17.887	         0	         0	     0.006	    -0.111	         -2.076	         16.647	          0.160	         -1.240
      1825.52166	     -65.999824	      23.511762	    1356504.814	    1356490.224	     0.095	     2.370	     0.059	    -0.045	     0.353	    -0.034	    -2.215	    -0.015	    16.498	    17.897	         0	         0	     0.006	    -0.113	         -2.063	         16.653	          0.155	         -1.244
      1825.52167	     -65.993983	      23.639777	    1356503.265	    1356488.661	     0.086	     2.310	     0.060	    -0.045	     0.354	    -0.033	    -2.215	    -0.017	    16.516	    17.927	         0	         0	     0.006	    -0.114	         -2.064	         16.668	          0.152	         -1.259
      1825.52168	     -65.988028	      23.767731	    1356501.687	    1356487.015	     0.068	     2.430	     0.060	    -0.045	     0.354	    -0.033	    -2.215	    -0.044	    16.542	    17.959	         0	         0	     0.006	    -0.119	         -2.096	         16.768	          0.226	         -1.191
      1825.52169	     -65.981960	      23.895622	    1356500.079	    1356485.355	     0.071	     2.160	     0.060	    -0.045	     0.355	    -0.033	    -2.215	    -0.031	    16.570	    17.981	         0	         0	     0.006	    -0.108	         -2.071	         16.795	          0.225	         -1.186
      1825.52170	     -65.975778	      24.023451	    1356498.443	    1356483.754	     0.079	     2.380	     0.060	    -0.045	     0.356	    -0.033	    -2.215	    -0.019	    16.596	    18.004	         0	         0	     0.006	    -0.116	         -2.066	         16.755	          0.159	         -1.249
      1825.52172	     -65.969484	      24.151214	    1356496.778	    1356482.052	     0.083	     2.530	     0.060	    -0.045	     0.357	    -0.033	    -2.215	    -0.039	    16.620	    18.032	         0	         0	     0.006	    -0.120	         -2.089	         16.815	          0.195	         -1.217
      1825.52173	     -65.963076	      24.278913	    1356495.084	    1356480.307	     0.095	     2.310	     0.060	    -0.045	     0.357	    -0.034	    -2.215	    -0.023	    16.643	    18.054	         0	         0	     0.006	    -0.113	         -2.067	         16.844	          0.201	         -1.210
      1825.52174	     -65.956555	      24.406545	    1356493.361	    1356478.562	     0.060	     2.450	     0.061	    -0.045	     0.358	    -0.034	    -2.214	    -0.038	    16.669	    18.071	         0	         0	     0.006	    -0.118	         -2.085	         16.884	          0.215	         -1.187
      1825.52175	     -65.949921	      24.534109	    1356491.609	    1356476.740	     0.073	     2.160	     0.061	    -0.045	     0.359	    -0.035	    -2.214	    -0.034	    16.705	    18.098	         0	         0	     0.006	    -0.106	         -2.069	         16.938	          0.233	         -1.160
      1825.52176	     -65.943175	      24.661604	    1356489.828	    1356474.967	     0.062	     2.350	     0.061	    -0.045	     0.360	    -0.035	    -2.214	    -0.038	    16.753	    18.142	         0	         0	     0.006	    -0.112	         -2.078	         16.939	          0.186	         -1.203
      1825.52177	     -65.936315	      24.789029	    1356488.019	    1356473.078	     0.097	     2.310	     0.061	    -0.045	     0.360	    -0.035	    -2.214	    -0.025	    16.816	    18.202	         0	         0	     0.006	    -0.113	         -2.066	         17.007	          0.191	         -1.195
      1825.52179	     -65.929343	      24.916384	    1356486.180	    1356471.182	     0.071	     2.360	     0.061	    -0.045	     0.361	    -0.036	    -2.214	    -0.029	    16.887	    18.277	         0	         0	     0.006	    -0.116	         -2.073	         17.071	          0.184	         -1.206
      1825.52180	     -65.922258	      25.043666	    1356484.312	    1356469.223	     0.075	     2.480	     0.061	    -0.045	     0.362	    -0.037	    -2.213	    -0.027	    16.964	    18.356	         0	         0	     0.006	    -0.119	         -2.073	         17.162	          0.198	         -1.194
      1825.52181	     -65.915061	      25.170875	    1356482.416	    1356467.276	     0.075	     2.620	     0.061	    -0.045	     0.363	    -0.037	    -2.213	    -0.024	    17.040	    18.428	         0	         0	     0.006	    -0.125	         -2.075	         17.215	          0.175	         -1.213
      1825.52182	     -65.907752	      25.298009	    1356480.490	    1356465.215	     0.066	     2.650	     0.061	    -0.045	     0.364	    -0.037	    -2.213	    -0.053	    17.115	    18.500	         0	         0	     0.006	    -0.125	         -2.103	         17.378	          0.263	         -1.122
      1825.52183	     -65.900330	      25.425068	    1356478.536	    1356463.217	     0.095	     2.610	     0.061	    -0.045	     0.365	    -0.038	    -2.213	    -0.037	    17.186	    18.578	         0	         0	     0.006	    -0.123	         -2.085	         17.404	          0.218	         -1.174
      1825.52184	     -65.892796	      25.552051	    1356476.553	    1356461.195	     0.077	     2.640	     0.061	    -0.045	     0.366	    -0.038	    -2.213	    -0.015	    17.251	    18.651	         0	         0	     0.006	    -0.127	         -2.066	         17.424	          0.173	         -1.227
      1825.52186	     -65.885150	      25.678956	    1356474.541	    1356459.124	     0.096	     2.570	     0.061	    -0.045	     0.367	    -0.039	    -2.212	    -0.027	    17.305	    18.701	         0	         0	     0.006	    -0.123	         -2.073	         17.490	          0.185	         -1.211
      1825.52187	     -65.877392	      25.805783	    1356472.500	    1356457.039	     0.084	     2.480	     0.062	    -0.045	     0.368	    -0.039	    -2.212	    -0.030	    17.342	    18.730	         0	         0	     0.006	    -0.121	         -2.073	         17.534	          0.192	         -1.196
      1825.52188	     -65.869522	      25.932529	    1356470.430	    1356454.937	     0.057	     2.620	     0.062	    -0.045	     0.369	    -0.039	    -2.212	    -0.043	    17.359	    18.747	         0	         0	     0.006	    -0.126	         -2.090	         17.583	          0.224	         -1.164
      1825.52189	     -65.861540	      26.059196	    1356468.331	    1356452.851	     0.098	     2.780	     0.062	    -0.045	     0.370	    -0.039	    -2.212	    -0.041	    17.367	    18.757	         0	         0	     0.006	    -0.131	         -2.092	         17.572	          0.205	         -1.185
      1825.52190	     -65.853447	      26.185780	    1356466.204	    1356450.720	     0.071	     2.800	     0.062	    -0.045	     0.371	    -0.038	    -2.211	    -0.039	    17.375	    18.763	         0	         0	     0.006	    -0.132	         -2.088	         17.572	          0.197	         -1.191
      1825.52192	     -65.845242	      26.312282	    1356464.047	    1356448.538	     0.072	     2.640	     0.062	    -0.045	     0.372	    -0.038	    -2.211	    -0.041	    17.387	    18.767	         0	         0	     0.006	    -0.127	         -2.084	         17.593	          0.206	         -1.174
      1825.52193	     -65.836926	      26.438699	    1356461.862	    1356446.389	     0.117	     3.040	     0.063	    -0.045	     0.373	    -0.037	    -2.211	    -0.033	    17.410	    18.780	         0	         0	     0.006	    -0.141	         -2.088	         17.561	          0.151	         -1.219
      1825.52194	     -65.828499	      26.565032	    1356459.648	    1356444.025	     0.103	     2.530	     0.063	    -0.045	     0.374	    -0.036	    -2.211	    -0.047	    17.443	    18.811	         0	         0	     0.006	    -0.122	         -2.081	         17.704	          0.261	         -1.107
      1825.52195	     -65.819960	      26.691279	    1356457.405	    1356441.779	     0.078	     2.740	     0.063	    -0.045	     0.375	    -0.036	    -2.211	    -0.054	    17.484	    18.858	         0	         0	     0.006	    -0.130	         -2.095	         17.721	          0.237	         -1.137
      1825.52196	     -65.811310	      26.817438	    1356455.133	    1356439.474	     0.077	     2.710	     0.063	    -0.045	     0.376	    -0.036	    -2.210	    -0.032	    17.527	    18.904	         0	         0	     0.006	    -0.128	         -2.069	         17.728	          0.201	         -1.176
      1825.52197	     -65.802550	      26.943510	    1356452.833	    1356437.158	     0.057	     2.810	     0.063	    -0.045	     0.377	    -0.036	    -2.210	    -0.035	    17.572	    18.938	         0	         0	     0.006	    -0.133	         -2.076	         17.751	          0.179	         -1.187
      1825.52199	     -65.793678	      27.069492	    1356450.503	    1356434.805	     0.071	     2.990	     0.064	    -0.045	     0.378	    -0.035	    -2.210	    -0.035	    17.613	    18.966	         0	         0	     0.006	    -0.140	         -2.081	         17.779	          0.166	         -1.187
      1825.52200	     -65.784696	      27.195385	    1356448.145	    1356432.342	     0.124	     2.920	     0.064	    -0.045	     0.379	    -0.035	    -2.210	    -0.040	    17.650	    19.004	         0	         0	     0.006	    -0.137	         -2.082	         17.885	          0.235	         -1.119
      1825.52201	     -65.775604	      27.321186	    1356445.758	    1356429.964	     0.114	     2.850	     0.064	    -0.045	     0.380	    -0.035	    -2.209	    -0.033	    17.692	    19.058	         0	         0	     0.006	    -0.135	         -2.071	         17.865	          0.173	         -1.193
      1825.52202	     -65.766400	      27.446895	    1356443.342	    1356427.457	     0.076	     3.010	     0.065	    -0.045	     0.381	    -0.034	    -2.209	    -0.022	    17.746	    19.115	         0	         0	     0.006	    -0.141	         -2.064	         17.949	          0.203	         -1.166
      1825.52203	     -65.757087	      27.572512	    1356440.898	    1356424.966	     0.043	     3.150	     0.065	    -0.045	     0.382	    -0.035	    -2.209	    -0.022	    17.810	    19.163	         0	         0	     0.006	    -0.144	         -2.067	         17.999	          0.189	         -1.164
      1825.52205	     -65.747663	      27.698034	    1356438.424	    1356422.451	     0.056	     3.090	     0.065	    -0.045	     0.383	    -0.033	    -2.209	    -0.031	    17.881	    19.215	         0	         0	     0.006	    -0.142	         -2.071	         18.044	          0.163	         -1.171
      1825.52206	     -65.738130	      27.823461	    1356435.922	    1356419.875	     0.110	     3.070	     0.065	    -0.046	     0.384	    -0.034	    -2.208	    -0.012	    17.959	    19.290	         0	         0	     0.006	    -0.142	         -2.052	         18.099	          0.140	         -1.191
      1825.52207	     -65.728486	      27.948792	    1356433.392	    1356417.188	     0.116	     3.090	     0.066	    -0.046	     0.386	    -0.033	    -2.208	    -0.034	    18.038	    19.381	         0	         0	     0.006	    -0.143	         -2.072	         18.276	          0.238	         -1.105
      1825.52208	     -65.718732	      28.074025	    1356430.832	    1356414.554	     0.086	     3.060	     0.066	    -0.046	     0.387	    -0.033	    -2.208	    -0.056	    18.123	    19.468	         0	         0	     0.006	    -0.143	         -2.093	         18.371	          0.248	         -1.097
      1825.52209	     -65.708869	      28.199161	    1356428.244	    1356411.902	     0.093	     3.080	     0.067	    -0.046	     0.388	    -0.034	    -2.207	    -0.041	    18.218	    19.553	         0	         0	     0.006	    -0.143	         -2.077	         18.419	          0.201	         -1.134
      1825.52210	     -65.698896	      28.324198	    1356425.627	    1356409.181	     0.065	     3.200	     0.067	    -0.046	     0.389	    -0.034	    -2.207	    -0.030	    18.315	    19.647	         0	         0	     0.006	    -0.147	         -2.069	         18.515	          0.200	         -1.132
      1825.52212	     -65.688814	      28.449135	    1356422.981	    1356406.404	     0.066	     3.050	     0.067	    -0.046	     0.391	    -0.036	    -2.207	    -0.056	    18.414	    19.747	         0	         0	     0.006	    -0.143	         -2.091	         18.668	          0.254	         -1.079
      1825.52213	     -65.678623	      28.573970	    1356420.306	    1356403.638	     0.077	     3.280	     0.068	    -0.046	     0.392	    -0.035	    -2.207	    -0.052	    18.512	    19.843	         0	         0	     0.006	    -0.150	         -2.092	         18.760	          0.248	         -1.083
      1825.52214	     -65.668322	      28.698704	    1356417.603	    1356400.836	     0.055	     3.310	     0.068	    -0.046	     0.393	    -0.036	    -2.206	    -0.042	    18.611	    19.939	         0	         0	     0.006	    -0.151	         -2.082	         18.849	          0.238	         -1.090
      1825.52215	     -65.657913	      28.823335	    1356414.871	    1356398.065	     0.102	     3.340	     0.068	    -0.046	     0.394	    -0.038	    -2.206	    -0.014	    18.713	    20.040	         0	         0	     0.006	    -0.152	         -2.056	         18.862	          0.149	         -1.178
      1825.52216	     -65.647395	      28.947862	    1356412.111	    1356395.187	     0.080	     3.450	     0.068	    -0.046	     0.395	    -0.037	    -2.206	    -0.022	    18.800	    20.135	         0	         0	     0.006	    -0.155	         -2.065	         18.989	          0.189	         -1.146
      1825.52218	     -65.636767	      29.072284	    1356409.322	    1356392.304	     0.112	     3.300	     0.068	    -0.046	     0.397	    -0.039	    -2.205	    -0.025	    18.883	    20.214	         0	         0	     0.006	    -0.151	         -2.063	         19.081	          0.198	         -1.133
      1825.52219	     -65.626032	      29.196601	    1356406.504	    1356389.397	     0.093	     3.440	     0.068	    -0.046	     0.398	    -0.038	    -2.205	    -0.069	    18.959	    20.281	         0	         0	     0.006	    -0.155	         -2.109	         19.216	          0.257	         -1.065
      1825.52220	     -65.615188	      29.320811	    1356403.657	    1356386.496	     0.087	     3.670	     0.069	    -0.046	     0.399	    -0.041	    -2.205	    -0.038	    19.027	    20.349	         0	         0	     0.006	    -0.162	         -2.087	         19.248	          0.221	         -1.101
      1825.52221	     -65.604235	      29.444913	    1356400.782	    1356383.587	     0.100	     3.860	     0.069	    -0.046	     0.401	    -0.042	    -2.205	    -0.014	    19.087	    20.424	         0	         0	     0.006	    -0.168	         -2.068	         19.263	          0.176	         -1.161
      1825.52222	     -65.593175	      29.568907	    1356397.879	    1356380.644	     0.071	     3.780	     0.069	    -0.046	     0.402	    -0.043	    -2.204	    -0.010	    19.152	    20.490	         0	         0	     0.006	    -0.165	         -2.060	         19.295	          0.143	         -1.195
      1825.52223	     -65.582006	      29.692791	    1356394.946	    1356377.646	     0.077	     3.820	     0.069	    -0.046	     0.403	    -0.043	    -2.204	    -0.037	    19.222	    20.545	         0	         0	     0.006	    -0.166	         -2.087	         19.387	          0.165	         -1.158
      1825.52225	     -65.570730	      29.816565	    1356391.985	    1356374.547	     0.077	     3.840	     0.069	    -0.046	     0.404	    -0.044	    -2.204	    -0.029	    19.293	    20.610	         0	         0	     0.006	    -0.167	         -2.080	         19.518	          0.225	         -1.092
      1825.52226	     -65.559346	      29.940228	    1356388.996	    1356371.509	     0.096	     3.710	     0.069	    -0.046	     0.406	    -0.045	    -2.203	    -0.030	    19.369	    20.691	         0	         0	     0.006	    -0.163	         -2.075	         19.562	          0.193	         -1.129
      1825.52227	     -65.547854	      30.063779	    1356385.977	    1356368.450	     0.120	     4.080	     0.069	    -0.046	     0.407	    -0.047	    -2.203	    -0.030	    19.428	    20.756	         0	         0	     0.006	    -0.174	         -2.087	         19.614	          0.186	         -1.142
      1825.52228	     -65.536255	      30.187217	    1356382.931	    1356365.311	     0.081	     4.110	     0.069	    -0.046	     0.408	    -0.048	    -2.203	    -0.040	    19.465	    20.788	         0	         0	     0.006	    -0.173	         -2.096	         19.716	          0.251	         -1.072
      1825.52229	     -65.524549	      30.310541	    1356379.855	    1356362.218	     0.086	     3.960	     0.069	    -0.046	     0.409	    -0.049	    -2.203	    -0.034	    19.486	    20.803	         0	         0	     0.006	    -0.169	         -2.086	         19.723	          0.237	         -1.080
      1825.52231	     -65.512735	      30.433750	    1356376.751	    1356359.142	     0.098	     4.110	     0.070	    -0.046	     0.411	    -0.051	    -2.202	    -0.017	    19.509	    20.825	         0	         0	     0.006	    -0.174	         -2.073	         19.682	          0.173	         -1.143
      1825.52232	     -65.500815	      30.556843	    1356373.619	    1356356.015	     0.101	     4.400	     0.070	    -0.046	     0.412	    -0.051	    -2.202	     0.001	    19.522	    20.850	         0	         0	     0.006	    -0.181	         -2.061	         19.665	          0.143	         -1.185
      1825.52233	     -65.488788	      30.679820	    1356370.458	    1356352.746	     0.095	     3.990	     0.070	    -0.046	     0.413	    -0.053	    -2.202	    -0.031	    19.534	    20.861	         0	         0	     0.006	    -0.171	         -2.084	         19.796	          0.262	         -1.065
      1825.52234	     -65.476654	      30.802680	    1356367.268	    1356349.618	     0.081	     4.200	     0.070	    -0.046	     0.415	    -0.053	    -2.201	    -0.050	    19.530	    20.845	         0	         0	     0.006	    -0.175	         -2.104	         19.754	          0.224	         -1.091
      1825.52235	     -65.464414	      30.925421	    1356364.050	    1356346.452	     0.107	     4.460	     0.070	    -0.046	     0.416	    -0.055	    -2.201	    -0.038	    19.503	    20.805	         0	         0	     0.006	    -0.184	         -2.102	         19.700	          0.197	         -1.105
      1825.52236	     -65.452068	      31.048043	    1356360.803	    1356343.199	     0.118	     4.450	     0.070	    -0.046	     0.417	    -0.055	    -2.201	    -0.039	    19.463	    20.754	         0	         0	     0.006	    -0.183	         -2.101	         19.705	          0.242	         -1.049
      1825.52238	     -65.439615	      31.170545	    1356357.528	    1356340.037	     0.114	     4.570	     0.070	    -0.046	     0.419	    -0.056	    -2.200	    -0.023	    19.394	    20.688	         0	         0	     0.006	    -0.187	         -2.087	         19.578	          0.184	         -1.110
      1825.52239	     -65.427056	      31.292926	    1356354.225	    1356336.747	     0.064	     4.330	     0.071	    -0.046	     0.420	    -0.057	    -2.200	    -0.027	    19.298	    20.593	         0	         0	     0.006	    -0.180	         -2.084	         19.562	          0.264	         -1.031
      1825.52240	     -65.414392	      31.415186	    1356350.893	    1356333.631	     0.131	     4.440	     0.071	    -0.046	     0.421	    -0.057	    -2.200	    -0.036	    19.191	    20.475	         0	         0	     0.006	    -0.182	         -2.094	         19.356	          0.165	         -1.119
      1825.52241	     -65.401622	      31.537323	    1356347.532	    1356330.366	     0.171	     4.590	     0.071	    -0.046	     0.423	    -0.058	    -2.200	    -0.014	    19.066	    20.347	         0	         0	     0.006	    -0.186	         -2.075	         19.241	          0.175	         -1.106
      1825.52242	     -65.388746	      31.659337	    1356344.143	    1356327.059	     0.067	     4.270	     0.071	    -0.046	     0.424	    -0.057	    -2.199	    -0.036	    18.934	    20.223	         0	         0	     0.006	    -0.179	         -2.087	         19.171	          0.237	         -1.052
      1825.52243	     -65.375765	      31.781227	    1356340.726	    1356323.784	     0.101	     4.520	     0.071	    -0.046	     0.425	    -0.057	    -2.199	    -0.043	    18.812	    20.109	         0	         0	     0.006	    -0.182	         -2.096	         19.038	          0.226	         -1.071
      1825.52245	     -65.362679	      31.902992	    1356337.280	    1356320.423	     0.092	     4.600	     0.072	    -0.046	     0.427	    -0.058	    -2.199	    -0.049	    18.704	    20.008	         0	         0	     0.006	    -0.187	         -2.106	         18.963	          0.259	         -1.045
      1825.52246	     -65.349488	      32.024631	    1356333.806	    1356317.078	     0.096	     4.650	     0.072	    -0.046	     0.428	    -0.058	    -2.198	    -0.001	    18.634	    19.928	         0	         0	     0.006	    -0.185	         -2.054	         18.782	          0.148	         -1.146
      1825.52247	     -65.336192	      32.146144	    1356330.303	    1356313.535	     0.093	     4.460	     0.072	    -0.046	     0.429	    -0.058	    -2.198	    -0.037	    18.608	    19.893	         0	         0	     0.006	    -0.180	         -2.084	         18.852	          0.244	         -1.041
      1825.52248	     -65.322791	      32.267529	    1356326.772	    1356310.031	     0.120	     4.870	     0.072	    -0.046	     0.430	    -0.058	    -2.198	    -0.026	    18.653	    19.929	         0	         0	     0.006	    -0.192	         -2.084	         18.825	          0.172	         -1.104
      1825.52249	     -65.309286	      32.388786	    1356323.212	    1356306.331	     0.055	     4.820	     0.072	    -0.046	     0.432	    -0.058	    -2.197	    -0.056	    18.737	    20.023	         0	         0	     0.006	    -0.191	         -2.110	         18.991	          0.254	         -1.032
      1825.52251	     -65.295677	      32.509914	    1356319.625	    1356302.677	     0.095	     4.860	     0.072	    -0.046	     0.433	    -0.059	    -2.197	    -0.042	    18.849	    20.146	         0	         0	     0.006	    -0.189	         -2.094	         19.042	          0.193	         -1.104
      1825.52252	     -65.281963	      32.630913	    1356316.008	    1356298.836	     0.095	     4.730	     0.072	    -0.046	     0.434	    -0.059	    -2.197	    -0.044	    18.998	    20.294	         0	         0	     0.006	    -0.188	         -2.094	         19.266	          0.268	         -1.028
      1825.52253	     -65.268146	      32.751781	    1356312.364	    1356295.061	     0.098	     4.870	     0.073	    -0.046	     0.436	    -0.060	    -2.197	    -0.026	    19.172	    20.463	         0	         0	     0.006	    -0.191	         -2.078	         19.381	          0.209	         -1.082
