 Satellite:           Jason-1
 Date of filtering:   15-May-2015, 16:03:47
 Original file:       Jason-1\Jason-1_ASCII\110\110_001tu_jason1.00_ASCII.txt 
 Allowed ins. flags:  00000000 
 Allowed orb. flags:  00000110 
 St. dev. max limit:  0.2 [m] 
   SWH. threshold:    7 [m] 
 abs(SSH - mssh) threshold:    2 [m] 

             jday	           glat	           glon	           hsat	           ralt	    stdalt	       swh	     otide	     etide	      invb	     wtrop	     dtrop	     ionos	      mssh	      geoh	    iflags	    oflags	     ptide	       emb	    SumOfCorr-s	            SSH	     SSH - mssh	     SSH - geoh
               d	            deg	            deg	              m	              m	         m	         m	         m	         m	         m	         m	         m	         m	         m	         m	         -	         -	         m	         m	              m	              m	              m	              m
===========================================================================================================================================================================================================================================================================================================================
      1825.52107	     -66.145792	      17.058958	    1356545.248	    1356531.582	     0.054	     1.890	     0.055	    -0.046	     0.320	    -0.036	    -2.223	    -0.024	    15.598	    16.981	         0	         0	     0.006	    -0.093	         -2.096	         15.762	          0.164	         -1.219
      1825.52108	     -66.145697	      17.188528	    1356545.152	    1356531.527	     0.043	     1.800	     0.054	    -0.046	     0.321	    -0.037	    -2.223	    -0.015	    15.552	    16.938	         0	         0	     0.006	    -0.091	         -2.085	         15.710	          0.158	         -1.228
      1825.52109	     -66.145487	      17.318096	    1356545.027	    1356531.407	     0.046	     1.750	     0.054	    -0.046	     0.321	    -0.038	    -2.223	    -0.031	    15.533	    16.921	         0	         0	     0.006	    -0.090	         -2.101	         15.721	          0.188	         -1.200
      1825.52110	     -66.145161	      17.447661	    1356544.872	    1356531.227	     0.085	     1.600	     0.054	    -0.046	     0.322	    -0.037	    -2.223	    -0.036	    15.539	    16.926	         0	         0	     0.006	    -0.083	         -2.097	         15.742	          0.203	         -1.184
      1825.52111	     -66.144720	      17.577223	    1356544.689	    1356531.054	     0.096	     1.780	     0.054	    -0.046	     0.323	    -0.036	    -2.222	    -0.033	    15.555	    16.940	         0	         0	     0.006	    -0.091	         -2.099	         15.734	          0.179	         -1.206
      1825.52112	     -66.144162	      17.706779	    1356544.476	    1356530.803	     0.076	     1.730	     0.054	    -0.046	     0.324	    -0.037	    -2.222	    -0.042	    15.574	    16.962	         0	         0	     0.006	    -0.089	         -2.106	         15.779	          0.205	         -1.183
      1825.52114	     -66.143490	      17.836328	    1356544.234	    1356530.517	     0.051	     1.630	     0.054	    -0.046	     0.325	    -0.037	    -2.222	    -0.037	    15.605	    16.998	         0	         0	     0.006	    -0.084	         -2.095	         15.812	          0.207	         -1.186
      1825.52115	     -66.142701	      17.965870	    1356543.964	    1356530.242	     0.079	     1.810	     0.054	    -0.046	     0.325	    -0.037	    -2.222	    -0.032	    15.642	    17.039	         0	         0	     0.006	    -0.092	         -2.098	         15.820	          0.178	         -1.219
      1825.52116	     -66.141797	      18.095403	    1356543.664	    1356529.938	     0.059	     1.900	     0.054	    -0.046	     0.326	    -0.036	    -2.222	    -0.017	    15.688	    17.082	         0	         0	     0.006	    -0.095	         -2.084	         15.810	          0.122	         -1.272
      1825.52117	     -66.140777	      18.224926	    1356543.335	    1356529.512	     0.067	     1.850	     0.054	    -0.046	     0.327	    -0.036	    -2.221	    -0.022	    15.745	    17.137	         0	         0	     0.006	    -0.094	         -2.086	         15.909	          0.164	         -1.228
      1825.52118	     -66.139642	      18.354437	    1356542.977	    1356529.063	     0.079	     1.610	     0.054	    -0.046	     0.328	    -0.036	    -2.221	    -0.033	    15.807	    17.204	         0	         0	     0.006	    -0.082	         -2.084	         15.998	          0.191	         -1.206
      1825.52120	     -66.138391	      18.483936	    1356542.590	    1356528.615	     0.063	     1.860	     0.054	    -0.046	     0.328	    -0.036	    -2.221	    -0.048	    15.871	    17.269	         0	         0	     0.006	    -0.094	         -2.111	         16.086	          0.215	         -1.183
      1825.52121	     -66.137025	      18.613421	    1356542.173	    1356528.167	     0.091	     1.960	     0.054	    -0.046	     0.329	    -0.036	    -2.221	    -0.030	    15.940	    17.336	         0	         0	     0.006	    -0.098	         -2.096	         16.102	          0.162	         -1.234
      1825.52122	     -66.135543	      18.742891	    1356541.728	    1356527.625	     0.047	     1.910	     0.054	    -0.046	     0.330	    -0.035	    -2.221	    -0.018	    16.013	    17.414	         0	         0	     0.006	    -0.096	         -2.080	         16.183	          0.170	         -1.231
