 Satellite:           Jason-1
 Date of filtering:   10-May-2015, 19:56:13
 Original file: 	  Jason-1\Jason-1_ASCII\110\110_002tu_jason1.00_ASCII.txt 
 Filters configuration: 	         0 and          0 
 
            jday	           glat	           glon	           hsat	           ralt	    stdalt	       swh	     otide	     etide	      invb	     wtrop	     dtrop	     ionos	      mssh	      geoh	    iflags	    oflags	     ptide	       emb	
               d	            deg	            deg	              m	              m	         m	         m	         m	         m	         m	         m	         m	         m	         m	         m	         -	         -	         m	         m	
==========================================================================================================================================================================================================================================================
      1825.57601	      15.222947	     260.155477	    1340629.710	    1340642.171	     0.063	     1.060	    -0.050	    -0.120	    -0.026	    -0.157	    -2.311	    -0.019	    -9.843	   -10.588	         0	         0	     0.003	    -0.041	
      1825.57602	      15.173342	     260.174919	    1340622.973	    1340635.373	     0.067	     1.520	    -0.050	    -0.120	    -0.026	    -0.156	    -2.311	    -0.030	    -9.719	   -10.461	         0	         0	     0.003	    -0.058	
      1825.57604	      15.123734	     260.194349	    1340616.259	    1340628.527	     0.065	     1.210	    -0.050	    -0.120	    -0.026	    -0.156	    -2.311	    -0.033	    -9.620	   -10.359	         0	         0	     0.003	    -0.046	
      1825.57606	      15.024511	     260.233178	    1340602.903	    1340615.109	     0.051	     1.520	    -0.049	    -0.120	    -0.027	    -0.157	    -2.311	    -0.022	    -9.464	   -10.208	         0	         0	     0.003	    -0.058	
      1825.57607	      14.974896	     260.252576	    1340596.261	    1340608.380	     0.055	     1.500	    -0.049	    -0.120	    -0.027	    -0.159	    -2.311	    -0.024	    -9.375	   -10.117	         0	         0	     0.003	    -0.057	
      1825.57609	      14.875657	     260.291339	    1340583.048	    1340594.977	     0.095	     1.540	    -0.049	    -0.120	    -0.027	    -0.157	    -2.311	    -0.027	    -9.159	    -9.917	         0	         0	     0.003	    -0.059	
      1825.57611	      14.826033	     260.310704	    1340576.477	    1340588.276	     0.073	     1.030	    -0.049	    -0.120	    -0.027	    -0.159	    -2.311	    -0.005	    -9.088	    -9.834	         0	         0	     0.003	    -0.040	
      1825.57613	      14.726778	     260.349402	    1340563.407	    1340575.094	     0.094	     1.190	    -0.049	    -0.120	    -0.026	    -0.157	    -2.311	    -0.014	    -8.970	    -9.725	         0	         0	     0.002	    -0.045	
      1825.57615	      14.627513	     260.388058	    1340550.433	    1340562.157	     0.161	     2.100	    -0.048	    -0.120	    -0.025	    -0.154	    -2.311	    -0.034	    -8.887	    -9.642	         0	         0	     0.002	    -0.079	
      1825.57617	      14.577876	     260.407370	    1340543.982	    1340555.533	     0.116	     1.060	    -0.048	    -0.120	    -0.025	    -0.155	    -2.311	    -0.026	    -8.865	    -9.632	         0	         0	     0.002	    -0.040	
      1825.57618	      14.528237	     260.426672	    1340537.555	    1340549.430	     0.091	     2.070	    -0.047	    -0.120	    -0.025	    -0.155	    -2.311	     0.006	    -8.847	    -9.624	         0	         0	     0.002	    -0.077	
      1825.57619	      14.478595	     260.445963	    1340531.152	    1340542.616	     0.054	     0.800	    -0.047	    -0.120	    -0.025	    -0.153	    -2.311	    -0.026	    -8.819	    -9.609	         0	         0	     0.002	    -0.031	
      1825.57621	      14.379304	     260.484514	    1340518.418	    1340529.837	     0.091	     1.440	    -0.046	    -0.120	    -0.025	    -0.152	    -2.311	    -0.071	    -8.711	    -9.502	         0	         0	     0.002	    -0.055	
      1825.57622	      14.329654	     260.503774	    1340512.088	    1340523.499	     0.103	     1.870	    -0.046	    -0.120	    -0.025	    -0.155	    -2.311	    -0.024	    -8.626	    -9.427	         0	         0	     0.002	    -0.070	
      1825.57624	      14.280002	     260.523023	    1340505.781	    1340517.077	     0.077	     1.390	    -0.046	    -0.121	    -0.025	    -0.153	    -2.311	    -0.043	    -8.580	    -9.380	         0	         0	     0.002	    -0.054	
      1825.57625	      14.230347	     260.542263	    1340499.499	    1340510.746	     0.070	     1.430	    -0.046	    -0.121	    -0.025	    -0.154	    -2.311	    -0.031	    -8.557	    -9.352	         0	         0	     0.002	    -0.056	
      1825.57626	      14.180690	     260.561492	    1340493.241	    1340504.473	     0.050	     1.520	    -0.045	    -0.121	    -0.025	    -0.154	    -2.311	    -0.041	    -8.519	    -9.316	         0	         0	     0.002	    -0.059	
      1825.57627	      14.131031	     260.580711	    1340487.007	    1340498.142	     0.042	     1.300	    -0.045	    -0.121	    -0.025	    -0.153	    -2.311	    -0.023	    -8.466	    -9.259	         0	         0	     0.002	    -0.052	
      1825.57628	      14.081369	     260.599919	    1340480.798	    1340491.810	     0.057	     1.180	    -0.044	    -0.121	    -0.025	    -0.154	    -2.311	    -0.021	    -8.389	    -9.185	         0	         0	     0.002	    -0.051	
      1825.57630	      14.031704	     260.619118	    1340474.612	    1340485.575	     0.050	     1.210	    -0.043	    -0.121	    -0.025	    -0.154	    -2.311	    -0.008	    -8.325	    -9.121	         0	         0	     0.002	    -0.051	
      1825.57631	      13.982037	     260.638306	    1340468.451	    1340479.367	     0.068	     1.130	    -0.043	    -0.121	    -0.025	    -0.154	    -2.311	    -0.016	    -8.276	    -9.080	         0	         0	     0.002	    -0.048	
      1825.57632	      13.932368	     260.657485	    1340462.315	    1340473.130	     0.067	     1.060	    -0.042	    -0.121	    -0.025	    -0.153	    -2.311	    -0.013	    -8.231	    -9.048	         0	         0	     0.002	    -0.046	
      1825.57633	      13.882696	     260.676653	    1340456.203	    1340467.036	     0.049	     1.230	    -0.041	    -0.121	    -0.025	    -0.155	    -2.311	    -0.013	    -8.191	    -8.999	         0	         0	     0.002	    -0.051	
      1825.57634	      13.833021	     260.695812	    1340450.115	    1340460.883	     0.071	     1.140	    -0.040	    -0.121	    -0.025	    -0.155	    -2.311	    -0.025	    -8.136	    -8.936	         0	         0	     0.002	    -0.048	
      1825.57635	      13.783344	     260.714961	    1340444.052	    1340454.768	     0.064	     1.100	    -0.039	    -0.121	    -0.025	    -0.156	    -2.311	    -0.017	    -8.084	    -8.887	         0	         0	     0.002	    -0.046	
      1825.57637	      13.733665	     260.734099	    1340438.013	    1340448.710	     0.079	     1.270	    -0.039	    -0.121	    -0.025	    -0.156	    -2.311	    -0.021	    -8.054	    -8.853	         0	         0	     0.002	    -0.052	
      1825.57638	      13.683983	     260.753228	    1340431.998	    1340442.608	     0.050	     1.040	    -0.038	    -0.121	    -0.024	    -0.157	    -2.311	    -0.031	    -8.026	    -8.822	         0	         0	     0.002	    -0.045	
      1825.57639	      13.634299	     260.772348	    1340426.009	    1340436.608	     0.081	     1.060	    -0.037	    -0.121	    -0.024	    -0.156	    -2.311	    -0.012	    -7.981	    -8.784	         0	         0	     0.002	    -0.047	
      1825.57640	      13.584613	     260.791457	    1340420.043	    1340430.602	     0.076	     1.020	    -0.036	    -0.121	    -0.024	    -0.157	    -2.311	    -0.024	    -7.964	    -8.764	         0	         0	     0.002	    -0.044	
      1825.57641	      13.534924	     260.810557	    1340414.102	    1340424.645	     0.063	     1.100	    -0.035	    -0.121	    -0.024	    -0.157	    -2.311	    -0.031	    -7.961	    -8.762	         0	         0	     0.002	    -0.047	
      1825.57643	      13.485233	     260.829647	    1340408.186	    1340418.733	     0.064	     1.160	    -0.034	    -0.121	    -0.024	    -0.156	    -2.311	    -0.010	    -7.940	    -8.749	         0	         0	     0.002	    -0.052	
      1825.57644	      13.435539	     260.848727	    1340402.295	    1340412.752	     0.082	     1.130	    -0.034	    -0.121	    -0.024	    -0.155	    -2.311	    -0.028	    -7.900	    -8.709	         0	         0	     0.002	    -0.051	
      1825.57645	      13.385843	     260.867798	    1340396.428	    1340406.908	     0.058	     1.210	    -0.033	    -0.121	    -0.024	    -0.153	    -2.311	    -0.024	    -7.860	    -8.664	         0	         0	     0.002	    -0.053	
      1825.57646	      13.336145	     260.886859	    1340390.585	    1340400.992	     0.086	     1.130	    -0.032	    -0.121	    -0.024	    -0.153	    -2.311	    -0.027	    -7.823	    -8.624	         0	         0	     0.002	    -0.051	
      1825.57647	      13.286444	     260.905911	    1340384.768	    1340395.223	     0.076	     1.520	    -0.031	    -0.122	    -0.023	    -0.152	    -2.311	    -0.023	    -7.778	    -8.579	         0	         0	     0.002	    -0.066	
      1825.57648	      13.236741	     260.924954	    1340378.975	    1340389.308	     0.071	     1.400	    -0.030	    -0.122	    -0.023	    -0.151	    -2.311	    -0.028	    -7.730	    -8.533	         0	         0	     0.002	    -0.062	
      1825.57650	      13.187036	     260.943986	    1340373.207	    1340383.394	     0.059	     1.050	    -0.029	    -0.122	    -0.023	    -0.151	    -2.311	    -0.034	    -7.680	    -8.487	         0	         0	     0.002	    -0.053	
      1825.57651	      13.137328	     260.963010	    1340367.463	    1340377.652	     0.053	     1.220	    -0.028	    -0.122	    -0.023	    -0.150	    -2.311	    -0.018	    -7.630	    -8.435	         0	         0	     0.002	    -0.061	
      1825.57652	      13.087618	     260.982024	    1340361.744	    1340371.888	     0.087	     1.350	    -0.027	    -0.122	    -0.023	    -0.149	    -2.311	    -0.024	    -7.591	    -8.377	         0	         0	     0.002	    -0.066	
      1825.57653	      13.037906	     261.001029	    1340356.051	    1340366.157	     0.049	     1.730	    -0.026	    -0.122	    -0.023	    -0.149	    -2.311	    -0.039	    -7.548	    -8.325	         0	         0	     0.002	    -0.073	
      1825.57654	      12.988191	     261.020025	    1340350.382	    1340360.444	     0.076	     1.550	    -0.025	    -0.122	    -0.023	    -0.149	    -2.311	    -0.012	    -7.508	    -8.280	         0	         0	     0.002	    -0.075	
      1825.57655	      12.938475	     261.039011	    1340344.737	    1340354.754	     0.056	     1.460	    -0.024	    -0.122	    -0.022	    -0.148	    -2.311	    -0.012	    -7.479	    -8.240	         0	         0	     0.002	    -0.072	
