 Satellite:           Jason-1
 Date of filtering:   10-May-2015, 19:56:15
 Original file: 	  Jason-1\Jason-1_ASCII\110\110_005tu_jason1.00_ASCII.txt 
 Filters configuration: 	         0 and          0 
 
            jday	           glat	           glon	           hsat	           ralt	    stdalt	       swh	     otide	     etide	      invb	     wtrop	     dtrop	     ionos	      mssh	      geoh	    iflags	    oflags	     ptide	       emb	
               d	            deg	            deg	              m	              m	         m	         m	         m	         m	         m	         m	         m	         m	         m	         m	         -	         -	         m	         m	
==========================================================================================================================================================================================================================================================
      1825.67972	     -63.663263	     346.122663	    1355823.709	    1355816.500	     0.088	     0.430	     0.013	    -0.046	     0.336	    -0.039	    -2.220	    -0.051	     9.105	    10.601	         0	         0	     0.005	    -0.023	
      1825.67975	     -63.618569	     346.336299	    1355811.225	    1355804.042	     0.050	     0.000	     0.015	    -0.046	     0.337	    -0.039	    -2.219	    -0.040	     9.038	    10.531	         0	         0	     0.005	    -0.009	
      1825.67989	     -63.343276	     347.603377	    1355734.083	    1355726.648	     0.046	     0.000	     0.029	    -0.047	     0.342	    -0.039	    -2.218	    -0.037	     9.292	    10.770	         0	         0	     0.005	    -0.006	
      1825.67990	     -63.319791	     347.707820	    1355727.482	    1355719.999	     0.050	     0.000	     0.030	    -0.047	     0.343	    -0.041	    -2.218	    -0.042	     9.332	    10.805	         0	         0	     0.005	    -0.008	
      1825.67996	     -63.201127	     348.227379	    1355694.079	    1355686.622	     0.054	     0.000	     0.036	    -0.047	     0.345	    -0.044	    -2.218	    -0.041	     9.287	    10.756	         0	         0	     0.005	    -0.010	
      1825.67997	     -63.177148	     348.330758	    1355687.320	    1355679.909	     0.041	     0.310	     0.037	    -0.047	     0.345	    -0.042	    -2.218	    -0.044	     9.261	    10.719	         0	         0	     0.005	    -0.020	
      1825.67998	     -63.153088	     348.433959	    1355680.534	    1355673.167	     0.044	     0.000	     0.039	    -0.047	     0.345	    -0.045	    -2.218	    -0.024	     9.226	    10.673	         0	         0	     0.005	    -0.008	
      1825.68010	     -62.908057	     349.456156	    1355611.233	    1355603.259	     0.069	     0.220	     0.049	    -0.047	     0.349	    -0.041	    -2.217	    -0.041	     9.801	    11.259	         0	         0	     0.005	    -0.012	
      1825.68073	     -61.482597	     354.574584	    1355201.032	    1355190.334	     0.059	     0.520	     0.102	    -0.048	     0.355	    -0.046	    -2.216	    -0.034	    12.458	    13.959	         0	         0	     0.006	    -0.025	
      1825.68074	     -61.453774	     354.666333	    1355192.613	    1355181.846	     0.044	     0.420	     0.103	    -0.049	     0.355	    -0.045	    -2.216	    -0.048	    12.520	    14.019	         0	         0	     0.006	    -0.021	
      1825.68075	     -61.424882	     354.757906	    1355184.170	    1355173.454	     0.061	     0.530	     0.104	    -0.049	     0.355	    -0.046	    -2.216	    -0.050	    12.503	    14.001	         0	         0	     0.006	    -0.023	
      1825.68076	     -61.395924	     354.849301	    1355175.702	    1355165.071	     0.058	     0.840	     0.104	    -0.049	     0.355	    -0.045	    -2.216	    -0.044	    12.441	    13.932	         0	         0	     0.006	    -0.034	
      1825.68077	     -61.366898	     354.940519	    1355167.210	    1355156.687	     0.068	     1.280	     0.105	    -0.049	     0.355	    -0.046	    -2.216	    -0.017	    12.392	    13.880	         0	         0	     0.006	    -0.050	
      1825.68078	     -61.337806	     355.031560	    1355158.693	    1355148.066	     0.053	     0.510	     0.106	    -0.049	     0.355	    -0.046	    -2.216	    -0.021	    12.401	    13.898	         0	         0	     0.006	    -0.024	
      1825.68080	     -61.308646	     355.122425	    1355150.151	    1355139.418	     0.052	     0.140	     0.106	    -0.049	     0.355	    -0.045	    -2.216	    -0.046	    12.459	    13.965	         0	         0	     0.006	    -0.009	
      1825.68081	     -61.279420	     355.213113	    1355141.585	    1355130.784	     0.067	     0.420	     0.107	    -0.049	     0.355	    -0.045	    -2.216	    -0.052	    12.551	    14.057	         0	         0	     0.006	    -0.018	
      1825.68082	     -61.250128	     355.303625	    1355132.994	    1355122.088	     0.073	     0.610	     0.107	    -0.049	     0.355	    -0.045	    -2.216	    -0.057	    12.666	    14.177	         0	         0	     0.006	    -0.025	
      1825.68083	     -61.220769	     355.393961	    1355124.379	    1355113.402	     0.057	     0.760	     0.108	    -0.049	     0.355	    -0.045	    -2.216	    -0.048	    12.789	    14.307	         0	         0	     0.006	    -0.030	
      1825.68084	     -61.191345	     355.484120	    1355115.740	    1355104.679	     0.109	     1.060	     0.109	    -0.049	     0.355	    -0.044	    -2.216	    -0.033	    12.889	    14.404	         0	         0	     0.006	    -0.042	
      1825.68087	     -61.132298	     355.663912	    1355098.388	    1355087.178	     0.064	     0.460	     0.110	    -0.049	     0.355	    -0.045	    -2.216	    -0.052	    12.955	    14.468	         0	         0	     0.006	    -0.020	
      1825.68088	     -61.102677	     355.753544	    1355089.676	    1355078.506	     0.058	     0.870	     0.111	    -0.049	     0.355	    -0.044	    -2.216	    -0.038	    12.946	    14.465	         0	         0	     0.006	    -0.035	
      1825.68089	     -61.072991	     355.843000	    1355080.939	    1355069.757	     0.043	     0.740	     0.112	    -0.049	     0.356	    -0.045	    -2.216	    -0.059	    12.952	    14.462	         0	         0	     0.006	    -0.029	
      1825.68090	     -61.043240	     355.932282	    1355072.178	    1355060.981	     0.057	     0.840	     0.113	    -0.049	     0.356	    -0.045	    -2.216	    -0.052	    12.972	    14.481	         0	         0	     0.006	    -0.032	
