 Satellite:           Jason-1
 Date of parsing:     10-May-2015, 19:55:35
 
            jday	           glat	           glon	           hsat	           ralt	    stdalt	       swh	     otide	     etide	      invb	     wtrop	     dtrop	     ionos	      mssh	      geoh	    iflags	    oflags	     ptide	       emb	
               d	            deg	            deg	              m	              m	         m	         m	         m	         m	         m	         m	         m	         m	         m	         m	         -	         -	         m	         m	
==========================================================================================================================================================================================================================================================
      1825.56018	      66.141890	     183.753590	    1353715.099	    1299999.999	    -0.001	   327.670	    32.767	    -0.045	     0.544	     0.000	    -2.172	    32.767	     4.073	     3.794	       200	        30	     0.003	    32.767	
      1825.56019	      66.141020	     183.883218	    1353715.013	    1299999.999	    -0.001	   327.670	    32.767	    -0.045	     0.551	     0.000	    -2.171	    32.767	     4.017	     3.759	       200	        30	     0.003	    32.767	
      1825.56029	      66.130038	     184.909550	    1353713.391	    1299999.999	    -0.001	   327.670	    32.767	    -0.045	     0.489	     0.000	    -2.185	    32.767	     3.765	     3.477	       200	        30	     0.003	    32.767	
      1825.56030	      66.128136	     185.039047	    1353713.067	    1299999.999	    -0.001	   327.670	    32.767	    -0.045	     0.437	     0.000	    -2.197	    32.767	     3.745	     3.476	       200	        30	     0.003	    32.767	
      1825.56033	      66.123181	     185.344947	    1353712.198	    1299999.999	    -0.001	   327.670	    32.767	    -0.045	     0.389	     0.000	    -2.207	    32.767	     3.700	     3.508	       200	        30	     0.003	    32.767	
      1825.56035	      66.118943	     185.579555	    1353711.431	    1299999.999	    -0.001	   327.670	    32.767	    -0.045	     0.355	     0.000	    -2.215	    32.767	     3.664	     3.543	       200	        30	     0.003	    32.767	
      1825.56039	      66.110375	     186.000856	    1353709.833	    1299999.999	    -0.001	     6.180	    32.767	    -0.045	     0.360	     0.000	    -2.214	    32.767	     3.621	     3.668	       202	        30	     0.003	    -0.208	
      1825.56040	      66.107499	     186.130141	    1353709.286	    1299999.999	    -0.001	   327.670	    32.767	    -0.045	     0.377	     0.000	    -2.210	    32.767	     3.616	     3.715	       200	        30	     0.003	    32.767	
      1825.56043	      66.100412	     186.428794	    1353707.920	    1299999.999	    -0.001	   327.670	    32.767	    -0.045	     0.367	     0.000	    -2.213	    32.767	     3.628	     3.837	       200	        30	     0.003	    32.767	
      1825.56044	      66.097154	     186.557973	    1353707.285	    1299999.999	    -0.001	   327.670	    32.767	    -0.045	     0.393	     0.000	    -2.207	    32.767	     3.646	     3.891	       200	        30	     0.003	    32.767	
      1825.56078	      65.953022	     190.280792	    1353677.386	    1299999.999	    -0.001	   327.670	     0.211	    -0.045	     0.166	    -0.026	    -2.259	    32.767	     3.829	     3.621	       200	        14	     0.006	    32.767	
      1825.56079	      65.946342	     190.408420	    1353675.958	    1299999.999	    -0.001	   327.670	     0.209	    -0.045	     0.162	    -0.033	    -2.260	    32.767	     3.851	     3.643	       200	        14	     0.006	    32.767	
      1825.56080	      65.939548	     190.535980	    1353674.503	    1299999.999	    -0.001	   327.670	     0.206	    -0.045	     0.161	    -0.037	    -2.260	    32.767	     3.899	     3.726	       200	        14	     0.006	    32.767	
      1825.56082	      65.932641	     190.663469	    1353673.022	    1299999.999	    -0.001	   327.670	     0.203	    -0.045	     0.161	    -0.035	    -2.260	    32.767	     3.985	     3.835	       200	        14	     0.006	    32.767	
      1825.56083	      65.925621	     190.790886	    1353671.514	    1299999.999	    -0.001	   327.670	     0.202	    -0.045	     0.160	    -0.031	    -2.260	    32.767	     4.070	     3.921	       200	        14	     0.006	    32.767	
      1825.56084	      65.918489	     190.918231	    1353669.980	    1299999.999	    -0.001	   327.670	     0.201	    -0.045	     0.158	    -0.029	    -2.261	    32.767	     4.156	     3.979	       200	        14	     0.006	    32.767	
      1825.56085	      65.911244	     191.045502	    1353668.420	    1299999.999	    -0.001	   327.670	     0.199	    -0.045	     0.157	    -0.030	    -2.261	    32.767	     4.265	     4.032	       200	        14	     0.006	    32.767	
      1825.56086	      65.903887	     191.172698	    1353666.833	    1299999.999	    -0.001	   327.670	     0.197	    -0.045	     0.157	    -0.030	    -2.261	    32.767	     4.380	     4.085	       200	        14	     0.006	    32.767	
      1825.56087	      65.896417	     191.299819	    1353665.220	    1299999.999	    -0.001	   327.670	     0.195	    -0.045	     0.154	    -0.037	    -2.262	    32.767	     4.438	     4.135	       200	        14	     0.006	    32.767	
      1825.56089	      65.888835	     191.426862	    1353663.581	    1299999.999	    -0.001	   327.670	     0.194	    -0.045	     0.150	    -0.035	    -2.262	    32.767	     4.492	     4.187	       200	        14	     0.006	    32.767	
      1825.56090	      65.881141	     191.553827	    1353661.915	    1299999.999	    -0.001	   327.670	     0.193	    -0.045	     0.146	    -0.035	    -2.263	    32.767	     4.545	     4.258	       200	        14	     0.006	    32.767	
      1825.56091	      65.873335	     191.680713	    1353660.223	    1299999.999	    -0.001	   327.670	     0.193	    -0.045	     0.142	    -0.046	    -2.264	    32.767	     4.643	     4.344	       200	        14	     0.006	    32.767	
      1825.56092	      65.865417	     191.807519	    1353658.504	    1299999.999	    -0.001	   327.670	     0.194	    -0.045	     0.138	    -0.051	    -2.265	    32.767	     4.754	     4.430	       200	        14	     0.006	    32.767	
      1825.56093	      65.857386	     191.934244	    1353656.759	    1299999.999	    -0.001	   327.670	     0.196	    -0.045	     0.133	    -0.053	    -2.266	    32.767	     4.832	     4.502	       200	        14	     0.006	    32.767	
