 Satellite:           Jason-1
 Date of parsing:     15-May-2015, 12:21:32
 
            jday	           glat	           glon	           hsat	           ralt	    stdalt	       swh	     otide	     etide	      invb	     wtrop	     dtrop	     ionos	      mssh	      geoh	    iflags	    oflags	     ptide	       emb	
               d	            deg	            deg	              m	              m	         m	         m	         m	         m	         m	         m	         m	         m	         m	         m	         -	         -	         m	         m	
==========================================================================================================================================================================================================================================================
      1825.63844	      66.115305	     157.408870	    1353798.460	    1299999.999	    -0.001	   327.670	    32.767	    -0.045	     0.442	     0.000	    -2.195	    32.767	     7.744	     7.949	       200	        30	     0.002	    32.767	
      1825.63858	      66.077291	     158.910623	    1353791.943	    1299999.999	    -0.001	   327.670	    32.767	    -0.045	     0.408	     0.000	    -2.203	    32.767	     8.288	     8.449	       200	        30	     0.002	    32.767	
      1825.63859	      66.073296	     159.039554	    1353791.215	    1299999.999	    -0.001	   327.670	    32.767	    -0.045	     0.401	     0.000	    -2.205	    32.767	     8.353	     8.445	       200	        30	     0.002	    32.767	
      1825.63860	      66.069185	     159.168442	    1353790.460	    1299999.999	    -0.001	   327.670	    32.767	    -0.045	     0.387	     0.000	    -2.208	    32.767	     8.425	     8.471	       200	        30	     0.002	    32.767	
      1825.63861	      66.064960	     159.297287	    1353789.678	    1299999.999	    -0.001	   327.670	    32.767	    -0.045	     0.426	     0.000	    -2.199	    32.767	     8.505	     8.541	       200	        30	     0.002	    32.767	
      1825.63863	      66.060620	     159.426087	    1353788.870	    1299999.999	    -0.001	   327.670	    32.767	    -0.045	     0.461	     0.000	    -2.191	    32.767	     8.591	     8.653	       200	        30	     0.002	    32.767	
      1825.63876	      66.002586	     160.901559	    1353777.686	    1299999.999	    -0.001	   327.670	    32.767	    -0.045	     0.765	     0.000	    -2.122	    32.767	     9.675	     9.559	       200	        30	     0.002	    32.767	
      1825.63877	      65.996821	     161.029703	    1353776.547	    1299999.999	    -0.001	   327.670	    32.767	    -0.045	     0.777	     0.000	    -2.119	    32.767	     9.743	     9.668	       200	        30	     0.002	    32.767	
      1825.63878	      65.990941	     161.157786	    1353775.381	    1299999.999	    -0.001	   327.670	    32.767	    -0.045	     0.792	     0.000	    -2.116	    32.767	     9.803	     9.770	       200	        30	     0.002	    32.767	
      1825.63880	      65.984948	     161.285808	    1353774.188	    1299999.999	    -0.001	   327.670	    32.767	    -0.045	     0.810	     0.000	    -2.111	    32.767	     9.854	     9.866	       200	        30	     0.002	    32.767	
      1825.63881	      65.978842	     161.413768	    1353772.969	    1299999.999	    -0.001	   327.670	    32.767	    -0.045	     0.832	     0.000	    -2.106	    32.767	     9.897	     9.955	       200	        30	     0.002	    32.767	
      1825.63892	      65.912889	     162.666345	    1353759.595	    1299999.999	    -0.001	   327.670	    32.767	    -0.045	     1.024	     0.000	    -2.062	    32.767	    10.078	    10.394	       200	        30	     0.002	    32.767	
      1825.63895	      65.898119	     162.920692	    1353756.557	    1299999.999	    -0.001	   327.670	    32.767	    -0.045	     1.189	     0.000	    -2.025	    32.767	    10.127	    10.508	       200	        30	     0.002	    32.767	
      1825.63907	      65.814355	     164.234370	    1353739.113	    1299999.999	    -0.001	   327.670	    32.767	    -0.045	     1.192	     0.000	    -2.024	    32.767	    10.508	    10.798	       200	        30	     0.002	    32.767	
      1825.63909	      65.800174	     164.438951	    1353736.129	    1299999.999	    -0.001	   327.670	    32.767	    -0.045	     1.288	     0.000	    -2.002	    32.767	    10.530	    10.841	       200	        30	     0.002	    32.767	
      1825.63910	      65.791283	     164.565007	    1353734.254	    1299999.999	    -0.001	   327.670	    32.767	    -0.045	     1.349	     0.000	    -1.988	    32.767	    10.533	    10.880	       200	        30	     0.002	    32.767	
      1825.63914	      65.759358	     165.004589	    1353727.499	    1299999.999	    -0.001	   327.670	    32.767	    -0.045	     1.396	     0.000	    -1.977	    32.767	    10.497	    10.752	       200	        30	     0.002	    32.767	
      1825.63915	      65.749969	     165.130231	    1353725.505	    1299999.999	    -0.001	   327.670	    32.767	    -0.045	     1.356	     0.000	    -1.987	    32.767	    10.480	    10.757	       200	        30	     0.002	    32.767	
      1825.63917	      65.740471	     165.255779	    1353723.486	    1299999.999	    -0.001	   327.670	    32.767	    -0.045	     1.318	     0.000	    -1.995	    32.767	    10.462	    10.819	       200	        30	     0.002	    32.767	
      1825.63940	      65.530870	     167.710353	    1353678.305	    1299999.999	    -0.001	   327.670	    32.767	    -0.045	     0.801	     0.000	    -2.114	    32.767	     9.928	    10.146	       200	        30	     0.002	    32.767	
      1825.63947	      65.456601	     168.470193	    1353662.065	    1299999.999	    -0.001	   327.670	    32.767	    -0.045	     0.450	     0.000	    -2.194	    32.767	     9.552	     9.620	       200	        30	     0.002	    32.767	
      1825.63948	      65.444190	     168.592834	    1353659.341	    1299999.999	    -0.001	   327.670	    32.767	    -0.045	     0.411	     0.000	    -2.203	    32.767	     9.519	     9.482	       200	        30	     0.002	    32.767	
      1825.63951	      65.420437	     168.824354	    1353654.120	    1299999.999	    -0.001	   327.670	    32.767	    -0.045	     0.364	     0.000	    -2.213	    32.767	     9.476	     9.309	       200	        30	     0.002	    32.767	
      1825.63952	      65.407719	     168.946644	    1353651.321	    1299999.999	    -0.001	     1.850	    32.767	    -0.045	     0.430	     0.000	    -2.198	    32.767	     9.460	     9.342	       202	        30	     0.002	    -0.087	
