 Satellite:           Jason-1
 Date of parsing:     15-May-2015, 12:21:29
 
            jday	           glat	           glon	           hsat	           ralt	    stdalt	       swh	     otide	     etide	      invb	     wtrop	     dtrop	     ionos	      mssh	      geoh	    iflags	    oflags	     ptide	       emb	
               d	            deg	            deg	              m	              m	         m	         m	         m	         m	         m	         m	         m	         m	         m	         m	         -	         -	         m	         m	
==========================================================================================================================================================================================================================================================
      1825.59914	     -66.144389	     348.671535	    1356561.210	    1356556.461	     0.050	     1.520	     0.075	    -0.046	     0.305	    -0.040	    -2.227	    -0.029	     6.654	     8.101	         0	         0	     0.005	    -0.079	
      1825.59915	     -66.144330	     348.801097	    1356561.074	    1356556.350	     0.080	     1.550	     0.075	    -0.046	     0.305	    -0.039	    -2.227	    -0.026	     6.644	     8.087	         0	         0	     0.005	    -0.081	
      1825.59916	     -66.144156	     348.930658	    1356560.909	    1356556.184	     0.067	     1.480	     0.075	    -0.046	     0.305	    -0.040	    -2.227	    -0.038	     6.626	     8.065	         0	         0	     0.005	    -0.078	
      1825.59917	     -66.143866	     349.060217	    1356560.714	    1356555.986	     0.073	     1.330	     0.075	    -0.046	     0.305	    -0.038	    -2.227	    -0.040	     6.609	     8.044	         0	         0	     0.005	    -0.070	
      1825.59919	     -66.143460	     349.189771	    1356560.491	    1356555.785	     0.051	     1.270	     0.075	    -0.046	     0.305	    -0.039	    -2.227	    -0.045	     6.591	     8.031	         0	         0	     0.005	    -0.069	
      1825.59920	     -66.142938	     349.319321	    1356560.239	    1356555.541	     0.073	     1.410	     0.075	    -0.046	     0.305	    -0.039	    -2.227	    -0.039	     6.584	     8.028	         0	         0	     0.005	    -0.075	
      1825.59921	     -66.142302	     349.448865	    1356559.957	    1356555.263	     0.055	     1.480	     0.075	    -0.046	     0.305	    -0.037	    -2.227	    -0.026	     6.589	     8.032	         0	         0	     0.005	    -0.076	
      1825.59922	     -66.141549	     349.578402	    1356559.647	    1356554.929	     0.051	     1.370	     0.075	    -0.046	     0.304	    -0.040	    -2.227	    -0.045	     6.599	     8.047	         0	         0	     0.005	    -0.071	
      1825.59923	     -66.140681	     349.707930	    1356559.307	    1356554.603	     0.089	     1.390	     0.075	    -0.046	     0.304	    -0.037	    -2.227	    -0.033	     6.620	     8.073	         0	         0	     0.005	    -0.074	
      1825.59924	     -66.139697	     349.837448	    1356558.939	    1356554.187	     0.083	     1.510	     0.075	    -0.046	     0.304	    -0.040	    -2.227	    -0.020	     6.649	     8.104	         0	         0	     0.005	    -0.077	
      1825.59926	     -66.138597	     349.966955	    1356558.541	    1356553.747	     0.083	     1.330	     0.075	    -0.046	     0.304	    -0.039	    -2.227	    -0.033	     6.681	     8.134	         0	         0	     0.005	    -0.068	
      1825.59927	     -66.137382	     350.096450	    1356558.114	    1356553.271	     0.079	     1.170	     0.075	    -0.046	     0.304	    -0.039	    -2.227	    -0.038	     6.710	     8.159	         0	         0	     0.005	    -0.063	
      1825.59928	     -66.136052	     350.225932	    1356557.659	    1356552.827	     0.076	     1.390	     0.075	    -0.046	     0.304	    -0.038	    -2.227	    -0.022	     6.731	     8.184	         0	         0	     0.005	    -0.075	
      1825.59929	     -66.134606	     350.355399	    1356557.174	    1356552.304	     0.068	     1.350	     0.075	    -0.046	     0.304	    -0.038	    -2.227	    -0.028	     6.750	     8.210	         0	         0	     0.005	    -0.072	
      1825.59930	     -66.133044	     350.484850	    1356556.660	    1356551.774	     0.076	     1.370	     0.075	    -0.045	     0.304	    -0.039	    -2.227	    -0.037	     6.774	     8.238	        64	         0	     0.005	    -0.066	
      1825.59932	     -66.131367	     350.614285	    1356556.117	    1356551.167	     0.042	     1.280	     0.075	    -0.045	     0.304	    -0.038	    -2.227	    -0.041	     6.808	     8.270	         0	         0	     0.005	    -0.068	
      1825.59933	     -66.129575	     350.743700	    1356555.545	    1356550.553	     0.076	     1.350	     0.075	    -0.045	     0.304	    -0.038	    -2.227	    -0.036	     6.849	     8.309	         0	         0	     0.005	    -0.071	
      1825.59934	     -66.127667	     350.873097	    1356554.943	    1356549.987	     0.075	     1.660	     0.075	    -0.045	     0.304	    -0.038	    -2.227	    -0.031	     6.888	     8.352	         0	         0	     0.005	    -0.083	
      1825.59935	     -66.125643	     351.002473	    1356554.313	    1356549.275	     0.049	     1.470	     0.075	    -0.045	     0.304	    -0.039	    -2.227	    -0.032	     6.934	     8.398	         0	         0	     0.005	    -0.073	
      1825.59936	     -66.123505	     351.131827	    1356553.654	    1356548.569	     0.072	     1.310	     0.075	    -0.045	     0.303	    -0.038	    -2.227	    -0.025	     6.988	     8.446	         0	         0	     0.005	    -0.066	
      1825.59937	     -66.121251	     351.261157	    1356552.965	    1356547.806	     0.075	     1.410	     0.076	    -0.045	     0.303	    -0.039	    -2.227	    -0.035	     7.046	     8.501	         0	         0	     0.005	    -0.073	
      1825.59939	     -66.118881	     351.390464	    1356552.248	    1356546.982	     0.036	     1.280	     0.076	    -0.045	     0.303	    -0.038	    -2.227	    -0.040	     7.103	     8.559	         0	         0	     0.005	    -0.065	
      1825.59940	     -66.116397	     351.519745	    1356551.502	    1356546.238	     0.089	     1.340	     0.076	    -0.045	     0.303	    -0.039	    -2.227	    -0.017	     7.159	     8.611	         0	         0	     0.005	    -0.071	
      1825.59941	     -66.113797	     351.648999	    1356550.726	    1356545.403	     0.081	     1.350	     0.076	    -0.045	     0.303	    -0.039	    -2.227	    -0.031	     7.207	     8.661	         0	         0	     0.005	    -0.070	
