 Satellite:           jason
 Date of parsing:     04-May-2015, 22:36:18

            jday	            glat	            glon	        hsat	        ralt	    stdalt	       swh	     otide	     etide	      invb	     wtrop	     dtrop	     ionos	      mssh	      geoh	    iflags	    oflags	     ptide	       emb
             -  	           [deg]	           [deg]	        [m] 	        [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	        - 	         - 	       [m] 	       [m] 
================================================================================================================================================================================================================================================================== 
      1831.02541	       66.144325	      358.631797	 1353800.306	 1353752.184	     0.085	     5.880	    -0.199	    -0.060	     0.316	    -0.038	    -2.225	    -0.023	    50.707	    51.090	         0	         0	    -0.005	    -0.225
      1831.02542	       66.144234	      358.761455	 1353800.388	 1353752.310	     0.119	     5.640	    -0.200	    -0.060	     0.314	    -0.038	    -2.225	    -0.035	    50.616	    51.008	         0	         0	    -0.005	    -0.218
      1831.02544	       66.144026	      358.891111	 1353800.444	 1353752.523	     0.134	     6.550	    -0.201	    -0.060	     0.313	    -0.039	    -2.225	    -0.025	    50.533	    50.931	         0	         0	    -0.005	    -0.240
      1831.02545	       66.143703	      359.020764	 1353800.473	 1353752.611	     0.083	     6.510	    -0.201	    -0.059	     0.312	    -0.039	    -2.226	    -0.026	    50.457	    50.863	         0	         0	    -0.005	    -0.240
      1831.02546	       66.143264	      359.150413	 1353800.475	 1353752.722	     0.130	     6.680	    -0.202	    -0.059	     0.310	    -0.039	    -2.226	    -0.044	    50.381	    50.798	         0	         0	    -0.005	    -0.246
      1831.02547	       66.142709	      359.280058	 1353800.450	 1353752.741	     0.132	     6.410	    -0.203	    -0.059	     0.309	    -0.040	    -2.226	    -0.038	    50.314	    50.739	         0	         0	    -0.005	    -0.238
      1831.02548	       66.142038	      359.409695	 1353800.399	 1353752.777	     0.130	     6.470	    -0.203	    -0.059	     0.308	    -0.042	    -2.227	     0.009	    50.278	    50.703	         0	         0	    -0.005	    -0.234
      1831.02550	       66.141252	      359.539325	 1353800.321	 1353752.680	     0.116	     6.320	    -0.204	    -0.059	     0.306	    -0.043	    -2.227	    -0.013	    50.249	    50.687	         0	         0	    -0.005	    -0.237
      1831.02551	       66.140350	      359.668946	 1353800.216	 1353752.598	     0.108	     5.950	    -0.204	    -0.059	     0.305	    -0.044	    -2.227	    -0.006	    50.224	    50.659	         0	         0	    -0.005	    -0.227
      1831.02552	       66.139332	      359.798557	 1353800.085	 1353752.531	     0.106	     6.210	    -0.205	    -0.059	     0.303	    -0.044	    -2.228	    -0.050	    50.168	    50.604	         0	         0	    -0.005	    -0.235
      1831.02553	       66.138198	      359.928156	 1353799.927	 1353752.406	     0.123	     5.860	    -0.205	    -0.059	     0.302	    -0.047	    -2.228	    -0.015	    50.100	    50.538	         0	         0	    -0.005	    -0.219
      1831.02554	       66.136948	        0.057743	 1353799.743	 1353752.257	     0.114	     6.230	    -0.206	    -0.059	     0.301	    -0.046	    -2.228	    -0.022	    50.027	    50.467	         0	         0	    -0.005	    -0.226
      1831.02555	       66.135583	        0.187316	 1353799.531	 1353752.283	     0.144	     6.230	    -0.206	    -0.059	     0.299	    -0.049	    -2.229	    -0.042	    49.949	    50.378	         0	         0	    -0.006	    -0.234
      1831.02557	       66.134102	        0.316874	 1353799.293	 1353752.015	     0.125	     5.610	    -0.206	    -0.059	     0.298	    -0.049	    -2.229	    -0.020	    49.857	    50.278	         0	         0	    -0.006	    -0.215
