 Satellite:           jason
 Date of parsing:     04-May-2015, 22:36:17

            jday	            glat	            glon	        hsat	        ralt	    stdalt	       swh	     otide	     etide	      invb	     wtrop	     dtrop	     ionos	      mssh	      geoh	    iflags	    oflags	     ptide	       emb
             -  	           [deg]	           [deg]	        [m] 	        [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	        - 	         - 	       [m] 	       [m] 
================================================================================================================================================================================================================================================================== 
      1828.91739	       66.146716	       44.249884	 1353756.463	 1299999.999	    -0.001	   327.670	    32.767	    -0.049	     0.152	    -0.020	    -2.262	    32.767	    12.585	    11.465	       200	        30	    -0.003	    32.767
      1828.91740	       66.146389	       44.379552	 1353756.590	 1299999.999	    -0.001	   327.670	    32.767	    -0.049	     0.160	    -0.012	    -2.260	    32.767	    12.210	    11.426	       200	        30	    -0.003	    32.767
      1828.91742	       66.145488	       44.617265	 1353756.755	 1299999.999	    -0.001	   327.670	    32.767	    -0.049	     0.174	    -0.013	    -2.257	    32.767	    11.515	    11.314	       200	        30	    -0.003	    32.767
      1828.91743	       66.144833	       44.746919	 1353756.807	 1299999.999	    -0.001	   327.670	    32.767	    -0.049	     0.182	    -0.018	    -2.255	    32.767	    11.191	    11.190	       200	        30	    -0.003	    32.767
      1828.91745	       66.144061	       44.876565	 1353756.833	 1299999.999	    -0.001	   327.670	    32.767	    -0.049	     0.192	    -0.014	    -2.253	    32.767	    10.896	    10.998	       200	        30	    -0.003	    32.767
      1828.91746	       66.143174	       45.006201	 1353756.832	 1299999.999	    -0.001	     5.530	    32.767	    -0.049	     0.195	     0.000	    -2.252	    32.767	    10.625	    10.732	       202	        30	    -0.003	    -0.193
      1828.91747	       66.142172	       45.135829	 1353756.804	 1299999.999	    -0.001	   327.670	    32.767	    -0.049	     0.194	     0.000	    -2.253	    32.767	    10.336	    10.405	       200	        30	    -0.003	    32.767
      1828.91748	       66.141053	       45.265444	 1353756.749	 1299999.999	    -0.001	   327.670	    32.767	    -0.049	     0.194	     0.000	    -2.253	    32.767	    10.024	    10.043	       200	        30	    -0.003	    32.767
      1828.91750	       66.138679	       45.505200	 1353756.579	 1299999.999	    -0.001	   327.670	    32.767	    -0.049	     0.193	     0.000	    -2.253	    32.767	     9.406	     9.341	       200	        30	    -0.003	    32.767
      1828.91752	       66.135948	       45.741698	 1353756.321	 1299999.999	    -0.001	   327.670	    32.767	    -0.048	     0.195	     0.000	    -2.252	    32.767	     8.774	     8.655	       200	        30	    -0.003	    32.767
      1828.91757	       66.129382	       46.211249	 1353755.546	 1299999.999	    -0.001	   327.670	    32.767	    -0.048	     0.192	     0.000	    -2.253	    32.767	     7.607	     7.498	       200	        30	    -0.003	    32.767
      1828.91759	       66.125371	       46.455076	 1353755.005	 1299999.999	    -0.001	   327.670	    32.767	    -0.048	     0.191	     0.000	    -2.253	    32.767	     7.129	     7.018	       200	        30	    -0.003	    32.767
      1828.91760	       66.123075	       46.584509	 1353754.680	 1299999.999	    -0.001	   327.670	    32.767	    -0.048	     0.191	     0.000	    -2.253	    32.767	     6.924	     6.803	       200	        30	    -0.003	    32.767
      1828.91761	       66.120663	       46.713917	 1353754.328	 1299999.999	    -0.001	   327.670	    32.767	    -0.048	     0.191	     0.000	    -2.253	    32.767	     6.759	     6.625	       200	        30	    -0.003	    32.767
