 Satellite:           jason
 Date of parsing:     04-May-2015, 22:36:23

            jday	            glat	            glon	        hsat	        ralt	    stdalt	       swh	     otide	     etide	      invb	     wtrop	     dtrop	     ionos	      mssh	      geoh	    iflags	    oflags	     ptide	       emb
             -  	           [deg]	           [deg]	        [m] 	        [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	        - 	         - 	       [m] 	       [m] 
================================================================================================================================================================================================================================================================== 
      1832.70405	      -66.145764	      289.217418	 1356482.791	 1356479.292	     0.057	     1.380	     0.538	    -0.072	     0.277	    -0.037	    -2.232	    -0.076	     5.047	     6.135	         0	         2	    -0.001	    -0.059
      1832.70406	      -66.145641	      289.346989	 1356482.487	 1356478.692	     0.065	     1.470	     0.538	    -0.072	     0.279	    -0.038	    -2.232	    -0.062	     5.365	     6.446	         0	         2	    -0.001	    -0.063
      1832.70407	      -66.145403	      289.476558	 1356482.155	 1356478.101	     0.048	     1.400	     0.536	    -0.072	     0.281	    -0.037	    -2.231	    -0.070	     5.617	     6.706	         0	         2	    -0.001	    -0.061
      1832.70408	      -66.145049	      289.606124	 1356481.793	 1356477.517	     0.076	     1.310	     0.535	    -0.072	     0.282	    -0.038	    -2.231	    -0.055	     5.838	     6.949	         0	         2	    -0.001	    -0.058
      1832.70410	      -66.144580	      289.735686	 1356481.402	 1356476.893	     0.039	     1.220	     0.534	    -0.072	     0.285	    -0.037	    -2.231	    -0.070	     6.044	     7.168	         0	         2	    -0.001	    -0.056
      1832.70411	      -66.143995	      289.865243	 1356480.983	 1356476.267	     0.070	     1.340	     0.534	    -0.072	     0.288	    -0.037	    -2.230	    -0.059	     6.250	     7.374	         0	         2	    -0.001	    -0.058
      1832.70412	      -66.143294	      289.994792	 1356480.534	 1356475.647	     0.064	     1.580	     0.535	    -0.072	     0.291	    -0.037	    -2.229	    -0.061	     6.459	     7.598	         0	         2	    -0.001	    -0.065
      1832.70413	      -66.142478	      290.124334	 1356480.056	 1356474.919	     0.076	     1.370	     0.537	    -0.071	     0.289	    -0.037	    -2.229	    -0.063	     6.695	     7.848	         0	         2	    -0.001	    -0.060
      1832.70414	      -66.141546	      290.253866	 1356479.549	 1356474.097	     0.071	     1.240	     0.538	    -0.071	     0.289	    -0.036	    -2.230	    -0.065	     6.959	     8.112	         0	         2	    -0.001	    -0.054
      1832.70416	      -66.140498	      290.383388	 1356479.014	 1356473.333	     0.032	     1.450	     0.539	    -0.071	     0.288	    -0.037	    -2.230	    -0.067	     7.221	     8.371	         0	         2	    -0.001	    -0.062
      1832.70417	      -66.139335	      290.512899	 1356478.449	 1356472.580	     0.054	     1.480	     0.539	    -0.071	     0.289	    -0.035	    -2.230	    -0.061	     7.426	     8.606	         0	         2	    -0.001	    -0.061
      1832.70418	      -66.138056	      290.642396	 1356477.855	 1356471.740	     0.055	     1.040	     0.539	    -0.071	     0.288	    -0.037	    -2.230	    -0.058	     7.612	     8.807	         0	         2	    -0.001	    -0.047
      1832.70419	      -66.136662	      290.771879	 1356477.232	 1356470.983	     0.112	     1.480	     0.540	    -0.071	     0.286	    -0.033	    -2.230	    -0.065	     7.763	     8.976	         0	         2	    -0.001	    -0.061
      1832.70420	      -66.135152	      290.901348	 1356476.580	 1356470.245	     0.068	     1.330	     0.540	    -0.071	     0.286	    -0.036	    -2.230	    -0.055	     7.883	     9.111	         0	         2	    -0.001	    -0.056
