 Satellite:           jason
 Date of parsing:     04-May-2015, 22:36:20

            jday	            glat	            glon	        hsat	        ralt	    stdalt	       swh	     otide	     etide	      invb	     wtrop	     dtrop	     ionos	      mssh	      geoh	    iflags	    oflags	     ptide	       emb
             -  	           [deg]	           [deg]	        [m] 	        [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	        - 	         - 	       [m] 	       [m] 
================================================================================================================================================================================================================================================================== 
      1832.31367	      -66.146324	       70.950131	 1356410.269	 1356390.615	     0.057	     0.960	     0.098	    -0.069	     0.291	    -0.039	    -2.229	    -0.019	    21.487	    22.738	         0	         0	     0.005	    -0.047
      1832.31368	      -66.146202	       71.079708	 1356410.212	 1356390.624	     0.054	     0.820	     0.098	    -0.069	     0.292	    -0.039	    -2.229	    -0.018	    21.423	    22.669	         0	         0	     0.005	    -0.042
      1832.31369	      -66.145964	       71.209283	 1356410.125	 1356390.639	     0.059	     0.980	     0.097	    -0.069	     0.293	    -0.039	    -2.229	    -0.021	    21.356	    22.604	         0	         0	     0.005	    -0.048
      1832.31370	      -66.145610	       71.338855	 1356410.009	 1356390.577	     0.053	     1.080	     0.096	    -0.069	     0.293	    -0.040	    -2.229	    -0.017	    21.306	    22.554	         0	         0	     0.005	    -0.054
      1832.31372	      -66.145141	       71.468422	 1356409.864	 1356390.447	     0.078	     0.980	     0.096	    -0.069	     0.294	    -0.040	    -2.229	    -0.027	    21.273	    22.522	         0	         0	     0.005	    -0.050
      1832.31373	      -66.144557	       71.597984	 1356409.690	 1356390.330	     0.077	     1.110	     0.096	    -0.069	     0.294	    -0.041	    -2.229	    -0.027	    21.246	    22.493	         0	         0	     0.005	    -0.052
      1832.31374	      -66.143856	       71.727539	 1356409.487	 1356390.147	     0.059	     0.980	     0.096	    -0.069	     0.295	    -0.041	    -2.229	    -0.020	    21.212	    22.451	         0	         0	     0.005	    -0.051
      1832.31375	      -66.143040	       71.857086	 1356409.255	 1356389.950	     0.054	     0.980	     0.096	    -0.069	     0.295	    -0.041	    -2.228	    -0.032	    21.150	    22.395	         0	         0	     0.005	    -0.052
      1832.31376	      -66.142109	       71.986624	 1356408.994	 1356389.776	     0.054	     0.950	     0.096	    -0.069	     0.296	    -0.042	    -2.228	    -0.019	    21.074	    22.326	         0	         0	     0.005	    -0.049
      1832.31377	      -66.141061	       72.116152	 1356408.704	 1356389.573	     0.054	     1.140	     0.095	    -0.068	     0.296	    -0.042	    -2.228	    -0.034	    20.991	    22.244	         0	         0	     0.005	    -0.055
      1832.31379	      -66.139898	       72.245668	 1356408.385	 1356389.364	     0.053	     1.070	     0.095	    -0.068	     0.297	    -0.042	    -2.228	    -0.002	    20.898	    22.145	         0	         0	     0.005	    -0.055
      1832.31380	      -66.138620	       72.375171	 1356408.037	 1356389.087	     0.078	     0.730	     0.094	    -0.068	     0.297	    -0.043	    -2.228	    -0.027	    20.777	    22.023	         0	         0	     0.005	    -0.043
      1832.31381	      -66.137226	       72.504660	 1356407.660	 1356388.912	     0.058	     1.150	     0.094	    -0.068	     0.298	    -0.044	    -2.228	    -0.016	    20.636	    21.878	         0	         0	     0.005	    -0.059
      1832.31382	      -66.135716	       72.634134	 1356407.254	 1356388.658	     0.054	     1.080	     0.093	    -0.068	     0.298	    -0.044	    -2.228	    -0.034	    20.486	    21.723	         0	         0	     0.005	    -0.056
