 Satellite:           jason
 Date of parsing:     04-May-2015, 22:36:13

            jday	            glat	            glon	        hsat	        ralt	    stdalt	       swh	     otide	     etide	      invb	     wtrop	     dtrop	     ionos	      mssh	      geoh	    iflags	    oflags	     ptide	       emb
             -  	           [deg]	           [deg]	        [m] 	        [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	        - 	         - 	       [m] 	       [m] 
================================================================================================================================================================================================================================================================== 
      1827.62912	      -66.144634	      331.726059	 1356541.129	 1299999.999	    -0.001	   327.670	     0.072	    -0.047	     0.164	    -0.065	    -2.259	    32.767	     7.613	     9.093	       200	         0	     0.004	    32.767
      1827.62913	      -66.144519	      331.855623	 1356540.916	 1299999.999	    -0.001	   327.670	     0.072	    -0.047	     0.164	    -0.065	    -2.259	    32.767	     7.617	     9.108	       200	         0	     0.004	    32.767
      1827.62914	      -66.144289	      331.985185	 1356540.673	 1299999.999	    -0.001	   327.670	     0.071	    -0.046	     0.163	    -0.064	    -2.259	    32.767	     7.638	     9.120	       200	         0	     0.004	    32.767
      1827.62915	      -66.143943	      332.114744	 1356540.402	 1299999.999	    -0.001	   327.670	     0.071	    -0.046	     0.163	    -0.064	    -2.259	    32.767	     7.652	     9.130	       200	         0	     0.004	    32.767
      1827.62916	      -66.143482	      332.244298	 1356540.101	 1299999.999	    -0.001	   327.670	     0.070	    -0.046	     0.162	    -0.064	    -2.259	    32.767	     7.661	     9.136	       200	         0	     0.004	    32.767
      1827.62918	      -66.142905	      332.373847	 1356539.771	 1299999.999	    -0.001	   327.670	     0.070	    -0.046	     0.162	    -0.065	    -2.259	    32.767	     7.646	     9.122	       200	         0	     0.004	    32.767
      1827.62919	      -66.142213	      332.503390	 1356539.413	 1299999.999	    -0.001	   327.670	     0.069	    -0.046	     0.161	    -0.064	    -2.260	    32.767	     7.605	     9.075	       200	         0	     0.004	    32.767
      1827.62920	      -66.141404	      332.632925	 1356539.025	 1299999.999	    -0.001	   327.670	     0.069	    -0.046	     0.161	    -0.065	    -2.260	    32.767	     7.540	     9.007	       200	         0	     0.004	    32.767
      1827.62921	      -66.140481	      332.762450	 1356538.608	 1299999.999	    -0.001	   327.670	     0.068	    -0.046	     0.160	    -0.065	    -2.260	    32.767	     7.463	     8.933	       200	         0	     0.004	    32.767
      1827.62922	      -66.139441	      332.891965	 1356538.162	 1299999.999	    -0.001	   327.670	     0.068	    -0.046	     0.159	    -0.064	    -2.260	    32.767	     7.394	     8.865	       200	         0	     0.004	    32.767
      1827.62923	      -66.138286	      333.021469	 1356537.687	 1299999.999	    -0.001	   327.670	     0.067	    -0.046	     0.159	    -0.062	    -2.260	    32.767	     7.330	     8.806	       200	         0	     0.004	    32.767
      1827.62925	      -66.137016	      333.150960	 1356537.183	 1299999.999	    -0.001	   327.670	     0.067	    -0.046	     0.158	    -0.062	    -2.260	    32.767	     7.273	     8.760	       200	         0	     0.004	    32.767
      1827.62926	      -66.135630	      333.280437	 1356536.650	 1299999.999	    -0.001	   327.670	     0.066	    -0.046	     0.158	    -0.061	    -2.260	    32.767	     7.240	     8.728	       200	         0	     0.004	    32.767
      1827.62927	      -66.134128	      333.409898	 1356536.088	 1299999.999	    -0.001	   327.670	     0.066	    -0.046	     0.157	    -0.061	    -2.260	    32.767	     7.217	     8.709	       200	         0	     0.004	    32.767
