 Satellite:           jason
 Date of parsing:     04-May-2015, 22:36:15

            jday	            glat	            glon	        hsat	        ralt	    stdalt	       swh	     otide	     etide	      invb	     wtrop	     dtrop	     ionos	      mssh	      geoh	    iflags	    oflags	     ptide	       emb
             -  	           [deg]	           [deg]	        [m] 	        [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	        - 	         - 	       [m] 	       [m] 
================================================================================================================================================================================================================================================================== 
      1828.17565	      -66.145451	      133.362504	 1356546.092	 1356615.303	     0.964	    21.410	    32.767	    -0.048	     0.493	    -0.089	    -2.184	    -0.680	   -39.112	   -38.081	        66	        14	    -0.001	    -0.309
      1828.17567	      -66.145282	      133.492071	 1356546.019	 1299999.999	    -0.001	     8.000	    32.767	    -0.048	     0.422	    -0.086	    -2.201	    32.767	   -39.279	   -38.193	       202	        14	    -0.001	    -0.247
      1828.17569	      -66.144727	      133.712822	 1356545.828	 1355964.802	     0.779	    10.100	    32.767	    -0.048	     0.375	    -0.084	    -2.211	    -1.020	   -39.533	   -38.389	        74	        14	    -0.001	    -0.285
      1828.17570	      -66.144245	      133.842379	 1356545.676	 1299999.999	    -0.001	   327.670	    32.767	    -0.048	     0.303	    -0.083	    -2.228	    32.767	   -39.676	   -38.501	       200	        14	    -0.001	    32.767
      1828.17577	      -66.138649	      134.648298	 1356544.082	 1299999.999	    -0.001	   327.670	    32.767	    -0.047	     0.227	    -0.073	    -2.245	    32.767	   -40.139	   -39.173	       202	        14	    -0.001	    32.767
      1828.17578	      -66.137332	      134.777787	 1356543.721	 1299999.999	    -0.001	   327.670	    32.767	    -0.047	     0.263	    -0.088	    -2.237	    32.767	   -40.324	   -39.271	       202	        14	    -0.001	    32.767
      1828.17579	      -66.135899	      134.907261	 1356543.331	 1299999.999	    -0.001	   327.670	    32.767	    -0.047	     0.142	    -0.103	    -2.264	    32.767	   -40.521	   -39.370	       202	        14	    -0.002	    32.767
      1828.17581	      -66.134351	      135.036720	 1356542.912	 1299999.999	    -0.001	   327.670	    32.767	    -0.047	     0.135	    -0.107	    -2.266	    32.767	   -40.708	   -39.467	       200	        14	    -0.002	    32.767
      1828.17582	      -66.132688	      135.166162	 1356542.463	 1356507.528	     0.554	    11.470	    32.767	    -0.047	     0.129	    -0.106	    -2.267	    32.767	   -40.901	   -39.561	        74	        14	    -0.002	    -0.304
      1828.17583	      -66.130909	      135.295586	 1356541.986	 1299999.999	    -0.001	   327.670	    32.767	    -0.047	     0.268	    -0.093	    -2.236	    32.767	   -41.098	   -39.652	       200	        14	    -0.001	    32.767
      1828.17584	      -66.129015	      135.424990	 1356541.480	 1299999.999	    -0.001	   327.670	    32.767	    -0.047	     0.234	    -0.069	    -2.244	    32.767	   -41.233	   -39.743	       200	        14	    -0.001	    32.767
      1828.17585	      -66.127005	      135.554374	 1356540.945	 1299999.999	    -0.001	   327.670	    32.767	    -0.047	     0.125	    -0.055	    -2.268	    32.767	   -41.325	   -39.830	       200	        14	    -0.002	    32.767
      1828.17589	      -66.120151	      135.949471	 1356539.131	 1299999.999	    -0.001	   327.670	     0.256	    -0.046	     0.113	    -0.042	    -2.271	    32.767	   -41.318	   -40.068	       200	        14	    -0.002	    32.767
      1828.17590	      -66.117673	      136.078759	 1356538.478	 1299999.999	    -0.001	   327.670	     0.256	    -0.046	     0.113	    -0.044	    -2.271	    32.767	   -41.305	   -40.147	       200	        14	    -0.002	    32.767
