 Satellite:           jason
 Date of parsing:     04-May-2015, 22:36:25

            jday	            glat	            glon	        hsat	        ralt	    stdalt	       swh	     otide	     etide	      invb	     wtrop	     dtrop	     ionos	      mssh	      geoh	    iflags	    oflags	     ptide	       emb
             -  	           [deg]	           [deg]	        [m] 	        [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	        - 	         - 	       [m] 	       [m] 
================================================================================================================================================================================================================================================================== 
      1833.48481	      -66.144850	        5.773139	 1356556.595	 1356544.712	     0.057	     1.200	     0.211	    -0.077	     0.175	    -0.034	    -2.256	    -0.019	    13.781	    15.217	         0	         0	     0.006	    -0.054
      1833.48482	      -66.144711	        5.902703	 1356556.444	 1356544.567	     0.060	     1.350	     0.211	    -0.077	     0.175	    -0.034	    -2.256	    -0.007	    13.820	    15.250	         0	         0	     0.006	    -0.058
      1833.48483	      -66.144456	        6.032265	 1356556.265	 1356544.326	     0.087	     1.020	     0.212	    -0.077	     0.175	    -0.034	    -2.256	    -0.017	    13.854	    15.283	         0	         0	     0.006	    -0.048
      1833.48484	      -66.144086	        6.161824	 1356556.056	 1356544.066	     0.051	     1.020	     0.213	    -0.077	     0.175	    -0.033	    -2.256	    -0.021	    13.884	    15.313	         0	         0	     0.006	    -0.049
      1833.48485	      -66.143600	        6.291378	 1356555.818	 1356543.795	     0.066	     1.080	     0.213	    -0.077	     0.175	    -0.033	    -2.256	    -0.028	    13.913	    15.342	         0	         0	     0.006	    -0.052
      1833.48487	      -66.142998	        6.420926	 1356555.551	 1356543.497	     0.056	     1.110	     0.214	    -0.077	     0.176	    -0.032	    -2.256	    -0.019	    13.946	    15.371	         0	         0	     0.006	    -0.053
      1833.48488	      -66.142281	        6.550468	 1356555.255	 1356543.170	     0.047	     1.050	     0.214	    -0.077	     0.176	    -0.033	    -2.255	    -0.018	    13.977	    15.400	         0	         0	     0.006	    -0.052
      1833.48489	      -66.141448	        6.680002	 1356554.930	 1356542.787	     0.061	     1.230	     0.215	    -0.077	     0.176	    -0.032	    -2.255	    -0.017	    14.012	    15.435	         0	         0	     0.006	    -0.060
      1833.48490	      -66.140500	        6.809526	 1356554.576	 1356542.423	     0.078	     1.150	     0.216	    -0.077	     0.176	    -0.032	    -2.255	    -0.029	    14.057	    15.477	         0	         0	     0.006	    -0.058
      1833.48491	      -66.139435	        6.939039	 1356554.192	 1356541.987	     0.077	     1.300	     0.217	    -0.077	     0.176	    -0.033	    -2.255	    -0.033	    14.092	    15.517	         0	         0	     0.006	    -0.062
      1833.48493	      -66.138256	        7.068540	 1356553.780	 1356541.539	     0.054	     1.180	     0.218	    -0.077	     0.177	    -0.033	    -2.255	    -0.047	    14.121	    15.548	         0	         0	     0.006	    -0.058
      1833.48494	      -66.136960	        7.198029	 1356553.338	 1356541.108	     0.082	     1.340	     0.218	    -0.077	     0.177	    -0.032	    -2.255	    -0.024	    14.145	    15.571	         0	         0	     0.006	    -0.065
      1833.48495	      -66.135550	        7.327503	 1356552.868	 1356540.619	     0.058	     1.340	     0.219	    -0.077	     0.178	    -0.032	    -2.255	    -0.021	    14.161	    15.593	         0	         0	     0.006	    -0.066
      1833.48496	      -66.134023	        7.456962	 1356552.368	 1356540.112	     0.055	     1.420	     0.219	    -0.077	     0.178	    -0.031	    -2.255	    -0.003	    14.184	    15.617	         0	         0	     0.006	    -0.069
